路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向,非主線資料,基隆端,進口,32404,32716,29176
國1南向,非主線資料,基隆,出口,9885,7877,10245
國1南向,非主線資料,基隆,"進口1-尚仁路,基隆",2254,2484,2111
國1南向,非主線資料,基隆,"進口2-麥金路,金山",6183,6122,4808
國1南向,非主線資料,八堵,進口,9768,14563,8775
國1南向,非主線資料,大華系統,進口,24309,25187,21539
國1南向,非主線資料,五堵,出口,6523,5173,6064
國1南向,非主線資料,五堵,進口,9172,11450,10009
國1南向,非主線資料,汐止及汐止系統,出口,50415,54182,49075
國1南向,非主線資料,汐止及汐止系統,進口1-國3北+汐止,25599,25599,25599
國1南向,非主線資料,汐止及汐止系統,進口2-國3南,11169,11169,11169
國1南向,非主線資料,高架汐止端,出口,30678,34176,30559
國1南向,非主線資料,東湖,進口,20664,17463,18959
國1南向,非主線資料,內湖,出口1-南京,19742,19201,18626
國1南向,非主線資料,內湖,出口2-成功,9400,8751,9923
國1南向,非主線資料,內湖,進口,17296,18369,18981
國1南向,非主線資料,圓山,出口,68266,58282,64412
國1南向,非主線資料,圓山,進口,29142,27952,28549
國1南向,非主線資料,台北,出口1-士林,32943,30663,32364
國1南向,非主線資料,台北,出口2-台北市區,6948,6681,6365
國1南向,非主線資料,台北,進口,24358,20523,21183
國1南向,非主線資料,三重,出口,23151,21271,21562
國1南向,非主線資料,三重,進口,15485,13959,12102
國1南向,非主線資料,五股及五股轉接道,出口,39500,39500,39500
國1南向,非主線資料,五股及五股轉接道,進口1-高架,49740,49740,49740
國1南向,非主線資料,五股及五股轉接道,進口2-新五路台64,49651,47732,51154
國1南向,非主線資料,泰山轉接道,出口,40929,35156,46367
國1南向,非主線資料,林口,出口1-文化一路,24946,21838,26486
國1南向,非主線資料,林口,出口2-文化北路,15983,13318,19881
國1南向,非主線資料,林口,進口1-文化一路,15965,15363,17708
國1南向,非主線資料,林口,進口2-文化北路,18832,13178,22025
國1南向,非主線資料,桃園,出口,34596,32998,38146
國1南向,非主線資料,桃園,進口1-桃園,12979,12150,14730
國1南向,非主線資料,桃園,進口2-南崁,19187,17415,19564
國1南向,非主線資料,機場系統,出口,29130,33259,38818
國1南向,非主線資料,機場系統,進口,21114,23153,26699
國1南向,非主線資料,內壢,出口,27802,25672,29338
國1南向,非主線資料,內壢,進口1-中壢,13056,12700,14408
國1南向,非主線資料,內壢,進口2-大園,5300,4883,4883
