,區,路段編號,路段名稱,起迄地點,屬性,所屬區域屬性,屋齡屬性,房屋交易情形,是否為行政區交界,如為交界，是否有繁榮商業區？,是否為主幹道,是否有交通站點,是否有特殊交通情形,特殊較通情形說明,是否有教育設施,教育設施說明,是否有公共區域,公共區域說明,是否有正向設施,正向設施說明,是否有嫌惡設施,嫌惡設施說明,是否有大型商場,大型商場說明,是否有傳統市場,傳統市場說明,是否有便利商店、購物中心,便利商店、購物中心說明,是否有金融機構,金融機構說明,是否有特殊商業設施，如連鎖KTV、健身房,特殊商業設施說明,一般零售或餐飲店集中程度,現行地段率,擬調整地段率,調幅,調整理由
0,東區,766,崇吉六街-,路全部,新編路段,新興開發區,尚未有房屋建築完成,剛重劃完成或仍開發中，未有建物交易資料,否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,130.0,,,屬新興開發熱區，近市立醫院、崇明國中及國小，擬比照鄰近崇明路段增編地段率。
1,東區,669,裕誠街,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
2,東區,679,裕善街,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
3,東區,594,富強三街,#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,低,110.0,不調整,0,經綜合考量現行地段率尚屬合宜
4,東區,53,中華東路二段(巷全部),#ERROR!,現有路段,住宅區,普通(多數屋齡介於10至30年間),偏熱(介於101至200件),否,否,否,否,否,,否,,否,,是,臺南市政府環保局,否,,否,,否,,否,,否,,是,健身房,一般,110.0,115,↑5,"地處東區精華地段,生活機能良好,擬小幅調升。"
5,東區,121,文化六街-,全部(路含巷),現有路段,住宅區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,是,公園,否,,否,,否,,否,,否,,否,,否,,極低,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
6,東區,650,裕豐街 路全部,路全部,現有路段,住商混合區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,是,7-ELEVEN,否,,否,,一般,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
7,東區,538,崇明路(起點-中華東路),#ERROR!,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,是,是,否,,否,,否,,是,文化中心、文化派出所,否,,否,,否,,是,seven、全聯,是,花旗銀行,否,,高,140.0,不調整,0,經綜合考量現行地段率尚屬合宜
8,東區,395,長榮路二段 路全部,路全部,現有路段,住商混合區,普通(多數屋齡介於10至30年間),偏少(介於11至50件),否,否,是,是,否,,是,中學,是,公園,否,,否,,否,,否,,是,7-ELEVEN,是,中國信託商業銀行   永豐銀行,否,,一般,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
9,東區,651,裕豐街 巷全部,巷全部,現有路段,住商混合區,偏老(多數屋齡30年以上),普通(介於51至100件),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,低,110.0,不調整,0,經綜合考量現行地段率尚屬合宜
10,東區,165,北門路二段巷（火車站-開元路）,巷（火車站-開元路）,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,是,7-ELEVEN,否,,否,,低,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
11,東區,552,崇善東路-,#ERROR!,現有路段,住商混合區,偏老(多數屋齡30年以上),極少(約10件以下),否,否,否,否,否,,否,,否,,否,,否,,否,,否,,否,,否,,否,,一般,120.0,不調整,0,經綜合考量現行地段率尚屬合宜
12,東區,49,中華東路一段(後甲圓環-凱旋路之雙號),後甲圓環-凱旋路之雙號,現有路段,住商混合區,普通(多數屋齡介於10至30年間),極少(約10件以下),是,否,是,是,否,,否,,否,,否,,否,,是,南紡,否,,是,全家便利超商,是,中國信託商業銀行,否,,一般,150.0,160,↑10,本路段合宜地段率為180，惟本市地段率級距最高為180，另檢視中華東路一段(後甲圓環-凱旋路之雙號)110年平均公告現值較107年漲幅57.70%，經現勘為商業繁榮路段，故本路段地段率擬上調至160。
13,東區,326,東安路 路全部,路全部,現有路段,住商混合區,偏老(多數屋齡30年以上),偏少(介於11至50件),否,否,是,否,否,,是,中學,是,公園,否,,否,,否,,否,,是, 7-ELEVEN,否,,否,,高,130.0,不調整,0,經綜合考量現行地段率尚屬合宜
