變電所,所在地,量測年度,mG毫高斯
龍崎E/S,台南市龍崎區楠坑里,105,1.0~63
山上P/S,台南市山上區豐德里隙子口,104,1.6~75
二甲D/S,台南市歸仁區武東里中正南路,103,0.3~7.0
台南P/S,台南市東區仁和路,105,0.1~45.8
仁德D/S,台南市仁德區中山路,105,0.3~8.0
延平D/S,台南市南區南寧街,105,1.1~13.9
新化D/S,台南市新區區永就村永新路,105,1.7~62.4
小北D/S,台南市北區民德路,104,1.8~20.2
鹽行D/S,台南市永康區大橋一街,105,8.8~12.1
忠孝D/S,台南市東區崇明里大同路,104,1.4~41.9
三竹D/S,台南市新市胡環西路,104,1.0~54.5
和順D/S,台南市安南區館前南路,104,0.2~16.9
南科E/S,台南市善化區南科北路,103,0.2~78.2
道爺D/S,台南市新市區豐華里堤塘港路,104,0~9.3
豐華D/S,台南市新市區豐華里,103,1.2~10.5
安南P/S,台南市中華北路,104,0.2~21.2
南濱D/S,台南市本田街,104,0.4~11.7
鹿耳D/S,台南市安南區鹿耳里2鄰鹿耳一路,104,0.0~1.8
新營P/S,台南市新營區太子路,104,1.4~8.9
柳營D/S,台南市柳營區義士路,104,0.4~2.6
下營D/S,台南市下營區16甲,104,0.2~1.3
官田S/S,台南市官田區二鎮村工業路,104,1.2~14.4
隆田S/S,台南市官田區隆本里勝利路,104,2.5~47.3
新東S/S,台南市新營區土庫里卯舍路,104,0.7~30.1
麻豆S/S,台南市麻豆區興國路,104,0.7~23
白河S/S,台南市白河區新厝,104,0.9~71.1
新西S/S,台南市新營區新工路,104,1.6~102
學甲S/S,台南市學甲區煥昌里中正路,104,6.2~106
永華S/S,台南市北門區北門村舊埕,104,0.1~9.7
善化S/S,台南市善化區光文里大成路,105,2.0~34.7
保安S/S,台南市仁德區保安里民生路,105,0.6~15.6
後甲S/S,台南市東區後甲里裕農路621巷,105,2.6~37.6
開元S/S,台南市北區東豐路305巷,105,0.4~13.8
歸仁S/S,台南市歸仁區看東里中山路一段,105,1.1~33.9
新市S/S,台南市新市區永就里中山路,105,2.0~71
光洲S/S,台南市南區彰南里中華西路一段,105,0.2~115
大灣S/S,台南市永康區西灣里永大路二段,105,0.6~22.2
永康S/S,台南市永康區埔園里四維街,105,2.4~19.5
健康S/S,台南市南區光明里中華西路一段,105,0.2~29.4
運河S/S,台南市安平區平安里一鄰安平路,105,2.2~100
南化S/S,台南市南化區北寮里,105,0.5~29.6
山頂S/S,台南市山上區山上里,105,1.2~32.6
安順S/S,台南市安南區頂安里怡安路二段,105,2.7~75.5
佳里S/S,台南市佳里區六安里,105,1.3~43
車行S/S,台南市永康區王行里興工路,105,1.8~31.7
