facilityId,facilityName,facilityClass,facilityType,belongCityId,phone,fax,url,email,address,photo,facility_service
1,臺中市生命禮儀管理處-崇德館,公立,殯儀館,臺中市(臺中市),04-22334145,04-22389333,https://mortuary.taichung.gov.tw,x0000@tccg.gov.tw,臺中市(臺中市)北區崇德路1段50號,,229256|景福廳|3000/節||229257|懷恩廳|1200/節||229258|崇善廳|800/節||229259|遺體冷凍櫃|500/天||229260|停柩室|300/天||233449|永澤廳|||233450|永仁廳|||233451|永祥廳|||233452|永樂廳|||232785|慈忠廳|||232786|慈孝廳|||232787|慈智廳|||232788|慈信廳|||232789|慈德廳|||233448|永思廳|||232749|懷義廳|1200/節||232781|懷賢廳|||232782|懷仁廳|||232783|崇光廳|||232784|崇明廳||
2,中壢區殯葬服務中心-殯儀館,公立,殯儀館,桃園市,03-4522944,03-4617939,http://www.tycg.gov.tw/funeral/,moi007@mail.tycg.gov.tw,桃園市中壢區培英路289號,,229261|懷恩廳|桃園市民3000、非桃園市民9000||229262|崇德廳|桃園市民2000、非桃園市民6000||229263|冰櫃|桃園市民每日200、非桃園市民每日 600||232946|停柩室|桃園市民300、非桃園市民900||232948|思賢廳|桃園市民2000、非桃園市民6000||232949|忠孝廳|桃園市民1000、非桃園市民3000|
3,桃園區殯葬服務中心-殯儀館,公立,殯儀館,桃園市,03-3251569,,http://www.tycg.gov.tw/funeral/,moi010@mail.tycg.gov.tw,桃園市桃園區大有路916 號,,229264|天德廳(特級廳)|請參閱本所收費標準表||229265|景德廳(甲級廳)|請參閱本所收費標準表||229266|懷德廳(乙級廳)|請參閱本所收費標準表||229267|冷凍室|市民200元/日，市民以外為3倍||229268|停柩室|市民300元/日，市民以外為3倍||233178|美德廳(乙級廳)|請參閱本所收費標準表||233491|靈堂|市民300元/日，市民以外為3倍||233492|大眾靈位室|市民150元/日，市民以外為3倍||233172|大德廳(特級廳)|請參閱本所收費標準表||233173|懷遠廳(甲級廳)|請參閱本所收費標準表||233174|思源廳(甲級廳)|請參閱本所收費標準表||233175|忠孝廳(甲級廳)|請參閱本所收費標準表||233176|信義廳(甲級廳)|請參閱本所收費標準表||233177|和平廳(甲級廳)|請參閱本所收費標準表||232070|誦經室|市民300元/6時，市民以外為3倍||232071|化妝室|市民300/次，市民以外為3倍||232072|大體SPA室|市民1000/時，市民以外為3倍||233170|遺體接運|2000/次|
4,北竿鄉殯儀館,公立,殯儀館,連江縣,0836-55218,0836-55326,,z0921932095@yahoo.com.tw,連江縣北竿鄉坂里村民眾公墓,168|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D25/E240/F456/75b5b935-7648-41e2-bb07-2f01f62ec285.JPG|169|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D3/E266/F2/47acc1c9-82cf-41c7-8666-c3de048622c8.JPG,229269|懷恩堂|無|無|229270|冰櫃室|無|無|233424|放置壽棺|每月200元|無
5,南竿鄉成功山殯儀館,公立,殯儀館,連江縣,0836-22316,0836-22724,,,連江縣南竿鄉介壽村,167|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D31/E606/F359/2f239ed8-740f-46ab-9484-fc6476a7035e.JPG,229271|懷恩堂|1000元/具||229272|冰櫃室|500元/具|
6,東引鄉殯儀館,公立,殯儀館,連江縣,0836-76206,0836-77281,http://www.dongyin.gov.tw/,yangedc8252002@yahoo.com.tw,連江縣東引鄉恩愛山路段,,229273|甲級禮聽|3000元/次||229274|冰櫃室|3000元/天|
7,斗六市立殯儀館,公立,殯儀館,雲林縣,05-5350717,,http://www.dl.gov.tw/affiliated/cemetery_index.asp,douliou@mail.dl.gov.tw,雲林縣斗六市斗六市文化路633巷12號,,229276|冰櫃室|$300 / 天||229277|停柩室|$300 / 天||232325|洗化間／解剖室|$300 / 次||233301|懷恩廳|||233302|懷忠廳|||233303|懷孝廳|||233304|懷仁廳|||233305|懷愛廳||
11,宜蘭縣立殯葬管理所(員山福園)殯儀館,公立,殯儀館,宜蘭縣,03-9220433,03-9220447,http://fuyuan.e-land.gov.tw/releaseRedirect.do?unitID=127&pageID=6521,fuyuan@mail.e-land.gov.tw,宜蘭縣員山鄉湖東村蜊埤路27號,114|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D9/E478/F776/e0c2052f-83f4-4c2d-a846-e68c0b0ccb5c.JPG|115|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D17/E103/F83/c1b60ca4-8b05-4b50-99c3-05e8a61ede4f.JPG|280|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D18/E750/F843/540db2a2-682b-45ad-8ca9-ae2f5b3834c8.JPG,"229284|禮廳801|乙級禮廳使用費每場3小時3,500元||229285|冷凍櫃|1具/1天400元||229286|停柩室|每具/天400元||232473|禮廳804|甲級禮廳使用費每場3小時6,000元||233185|604|||232474|停柩室|每具/天400元||232746|禮廳802|乙級禮廳使用費每場3小時3,500元||232747|禮廳803|乙級禮廳使用費每場3小時3,500元||233182|601|||233183|602|||233184|603||"
12,高雄市殯葬管理處第一殯儀館,公立,殯儀館,高雄市(高雄市),07-3816316,07-3859028,http://mso.kcg.gov.tw/main/index.php,cabmso@kcg.gov.tw,高雄市(高雄市)三民區本館路600巷20號,131|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D7/E285/F365/c93f2adc-3d07-4429-b8a2-9f343f2af922.JPG|132|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D3/E696/F162/6b06ef6d-d9f6-4028-8fef-98c4f14cbae9.JPG|133|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D25/E59/F667/970b1f38-5b54-4c1f-9efc-c73b33c45190.JPG|134|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D1/E948/F811/f5f8ff1e-89e5-47d1-8b41-e051098abaa0.JPG|135|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D18/E418/F409/b43a5798-270c-4e28-8e0f-68db04445e68.JPG|136|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D12/E709/F863/e0dedf3c-febf-471c-b364-5138b4d60be2.JPG,229287|景行廳|6800元/場||229288|景德廳|4500元/場||229289|永安堂|2300元/場||229290|福安堂|1800元/場||229291|丁種禮聽|1200元/場||229292|冷凍櫃|450元/日||232939|法事間|||232940|豎靈區|||232943|往生室|||233187|景行一廳|||233188|景行二廳|||232873|永懷堂|2300元/場||232875|景福廳|4500元/場||232876|福德堂|1800元/場||232877|福寧堂|1800元/場||232937|骨灰暫厝|||232938|入殮室|||229293|停柩室|500元/日||232753|永寧堂|2300元/場||232754|永思堂|2300元/場|
13,澎湖縣菊島福園(殯儀館),公立,殯儀館,澎湖縣,06-9221655,06-9274701,,,澎湖縣馬公市光華里150號,165|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D18/E151/F831/cebb8bee-7cd4-4100-b82b-e777b7826073.JPG|317|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D21/E473/F896/1fa2fcee-76e5-43c8-a212-1922a6cd9b8f.jpg|318|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D19/E403/F296/3ba0a37a-0f0e-4d74-bbc9-4cc68b3053dc.JPG,229295|冰櫃室|300元/天||229296|停柩室|300元/天||232696|追遠堂|2500/場||232697|慎終堂|2500/場||232804|景德堂|3500/場||232805|永懷堂|3500/場||232806|思源堂|5500/場|
14,新北市立殯儀館,公立,殯儀館,新北市(臺北縣),02-22571207,02-82521344,http://www.ca.ntpc.gov.tw/PageContent/List?wnd_id=203,al9238@ms.ntpc.gov.tw,新北市(臺北縣)板橋區(板橋市)中正路560號,185|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D23/E928/F61/ff39f3f6-4688-4291-abf0-bda760efd9d3.gif,229297|甲級禮廳-景福廳|原價日$4500 / 次|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|229298|乙級禮廳-崇仁廳|原價日$2400 / 次|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|229299|丙級禮廳-明道廳|原價日$1200 / 次|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|229300|丁級禮廳|原價日$300 / 次|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|229301|靈柩寄存|$300 / 天|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|229302|冰櫃/遺體寄存費|1日至14日$400/天，15日以上$800/天|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232908|安詳廳||專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232909|安樂廳||專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232757|丙級禮廳-明倫廳|$1200 / 次|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232758|丙級禮廳-明孝廳|$1200 / 次|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232904|明哲廳||專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232905|明禮廳||專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232906|明德廳||專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232907|安逸廳||專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232755|乙級禮廳-崇義廳|$2400 / 次|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。|232756|丙級禮廳-明善廳|$1200 / 次|專任管理人員：館長、服務中心督導、禮廳督導、冷藏室督導共4人。
15,基隆市立殯葬管理所-殯儀館,公立,殯儀館,基隆市,02-24282116,02-24287896,https://www.klms.gov.tw/,klcg2709@ms1.gsn.gov.tw,基隆市仁愛區南榮路路509巷2號,108|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D1/E235/F836/e0a2d215-5509-4c05-ae98-f0e4f98ddd0e.jpg|121|https://mort.moi.gov.tw/d_upload_dca/facilities/image/A0/B0/C0/D3/E44/F508/0bdc9410-23fc-4198-86fd-5f1ccfca2d96.jpg,229303|懷恩廳|3000元/次||229306|冰櫃室|350元/天||232776|至德廳|||233288|慈暉廳|||233289|永寧廳|||233283|孝誠廳|||233284|崇仁廳|||233285|思賢廳|||233286|追遠廳|||233287|景行廳||
16,南投縣立南投殯儀館,公立,殯儀館,南投縣,049-2220644,,http://funeral.nantou.gov.tw,Liang612@nantou.gov.tw,南投縣南投市民族路566號,,229307|甲級禮廳-聖德廳|2500/天|104.1.1至106.12.31委託慣遠建設股份有限公司經營|229308|乙級禮廳-仁賢廳|2000/天|104.1.1至106.12.31委託慣遠建設股份有限公司經營|229309|丙級禮廳-懷思廳|1200/天|104.1.1至106.12.31委託慣遠建設股份有限公司經營|229310|遺體冷藏費|350/日|104.1.1至106.12.31委託慣遠建設股份有限公司經營|232807|丙級禮廳-懷源廳|2000/天|104.1.1至106.12.31委託慣遠建設股份有限公司經營|229307|甲級禮廳-聖德廳|2500/天|107-109年委託龍寶興業股份有限公司經營|229308|乙級禮廳-仁賢廳|2000/天|107-109年委託龍寶興業股份有限公司經營|229309|丙級禮廳-懷思廳|1200/天|107-109年委託龍寶興業股份有限公司經營|229310|遺體冷藏費|350/日|107-109年委託龍寶興業股份有限公司經營|232807|丙級禮廳-懷源廳|2000/天|107-109年委託龍寶興業股份有限公司經營
17,名間鄉立殯儀館,公立,殯儀館,南投縣,049-2732116,,http://www.atman.com.tw/mj/,,南投縣名間鄉濁水段164-12,,229311|禮廳|3小時$2500／外鄉$3500||229312|遺體冷藏費|1天$350／外鄉$500||233179|大慈廳|||233180|懷恩廳||
18,朴子市立殯儀館,公立,殯儀館,嘉義縣,(05)3793114,(05)3794130,http://www.puzihfh.gov.tw/,cyhgc215@mail.cyhg.gov.tw,嘉義縣朴子市竹圍里光復新路2號,,229314|冰櫃室|$500 / 天||229315|停柩室|$300 / 天||232857|思親廳||
19,鹿草鄉立殯儀館,公立,殯儀館,嘉義縣,(05)375-1744,(05)375-5086,http://www.lucao-fp.gov.tw,,嘉義縣鹿草鄉豊稠村52號,,229316|禮堂|$2000 / 3小時||229317|冰櫃室遺體冷藏|$500 / 天||229318|靈柩寄存|$200 / 天|
20,六腳鄉立殯儀館,公立,殯儀館,嘉義縣,(05)3800608,,http://lioujiao.cyhg.gov.tw/01job/other.asp?class=c_224,mengyu@mail.cyhg.gov.tw,嘉義縣六腳鄉雙涵村93號,,"229319|B1冰櫃室|$500~$1,000||232933|慈德廳||"
