AreaCode,掩埋場名稱,地號
67000150,龍山（簡易）垃圾掩埋場,七股區下山子寮段0379－0004地號
67000150,海寮（簡易）垃圾掩埋場,七股區三股子段0245－0001、0245－0007號2筆地號
67000080,垃圾掩埋場,下營區麻豆寮段1921-0000地號
67000110,一期垃圾衛生掩埋場,大內區頭社段0701-0010、0701-0011、0701-0013、0701-0015、701-22等5筆地號
67000110,二期垃圾衛生掩埋場,大內區頭社段0701-0010、0701-0011、0701-0013、0701-0015、701-22等5筆地號
67000220,（簡易）玉?垃圾掩埋場,山上區牛稠埔段0188－0001地號
67000270,一期垃圾衛生掩埋場,仁德區港墘段0909-0000地號
67000270,二期垃圾衛生掩埋場,仁德區港墘段0909-0000地號
67000270,三期區域性垃圾衛生掩埋場,仁德區港墘段0910-0000地號
67000040,聯合垃圾衛生掩埋場,柳營區果毅後段0096-0000、1544-0057、1544-0058、1544-0085、1544-0261、1544-0262、1544-0263、1544-0264、1544-0269 、1544-0270 地號等10筆地號
67000170,垃圾衛生掩埋場,北門區麗湖段0980地號
67000170,（簡易）垃圾掩埋場,北門區麗湖段0976-0000地號（部分）
67000310,一期王田垃圾衛生掩埋場,永康區車行段871、872、873、874、875、876、877、878、878-1、879、880、881等12筆地號
67000310,二期王田垃圾衛生掩埋場,新化區唪口段0640、0641、0642、0643、0644、0645、0646等7筆
67000230,垃圾掩埋場,玉井區芒子芒段0416－0001地號（部分）
67000030,六溪垃圾衛生掩埋場,白河區六重溪段0701、0702、0740-0001、0741、0744、0745、0746、0747、0748 等9筆地號
67000030,（簡易）中興垃圾掩埋場,白河區中興段2116-0001地號
67000210,灰渣掩埋場,安定區六塊寮段0258-0001、0259-0001、0260-0000、0261-0004、0261-0025、0262-0001、0262-0002等7筆地號
67000140,八份（簡易）垃圾掩埋場,西港區八份段1822、1823、1823-1、1823-2、1824、1825、1826、1827、1828、1829、1830、1831地號等12筆地號
67000140,大塭寮（簡易）垃圾掩埋場,西港區大塭寮段1526-0000、1527-0000、1528-0001、1529-0000、1530-0000等5筆地號
67000120,番子寮垃圾衛生掩埋場,佳里區唐盟段1586-0000、1593-0000、1594-0000、1596-0000、1597-0000、1598-0000、1599-0000等7筆地號
67000120,塭子寮垃圾掩埋場,佳里區佳里塭子內段1474-0000、1475-0000地號
67000100,垃圾衛生掩埋場,官田區社子段0650-0083、0650-0296地號
67000100,八葛（簡易）垃圾掩埋場,官田區番子渡頭段0087-0001地號
67000060,一期垃圾衛生掩埋場,東山區前大埔段0011－0006地號
67000060,二期垃圾衛生掩埋場,東山區前大埔段0011－0006地號
67000250,垃圾衛生掩埋場,玉井區芒子芒段0437-0001地號
67000250,（簡易）垃圾掩埋場,南化區南化段2152－0002地號
67000350,城西1期垃圾衛生掩埋場,安南區城西段1008-9地號(部分)
67000350,城西2期垃圾衛生掩埋場,安南區城西段1005-4、1008-7、1029-12（部分）、1030-2等4筆地號
67000350,城西3期垃圾衛生掩埋場,安南區城西段1029-5、1029-12（部分）、1029-13等3筆地號
67000350,城西灰渣掩埋場,安南區城西段1007-0000地號
67000350,城西0期垃圾衛生掩埋場,安南區城西段1007-0000地號
67000050,一期垃圾衛生掩埋場,後壁區長短樹段4760-0000地號
67000050,二期垃圾衛生掩埋場,後壁區長短樹段4770、4790、4791等3筆地號
67000050,菁寮垃圾掩埋場,後壁區菁寮段1845-0009地號
67000160,將軍溪（簡易）垃圾掩埋場,將軍區山子腳段3760-0000、3761-0000等2筆地號
67000160,廣山（簡易）垃圾掩埋場,將軍區將軍段1449-0000、1450-0000等2筆地號
67000160,西和漚汪（簡易）垃圾掩埋場,將軍區漚汪段中甲小段1079-0000地號
67000070,一期垃圾衛生掩埋場,麻豆區北勢寮段1372、1373、1374、1375、1376、1377、1378、1379、1380、1381、1382、1383、1419、1425、1428、1429、1430、1431、1432、1433、1434、1435、1436、1437、1438、1439、1440等27筆地號
67000070,二期垃圾衛生掩埋場,麻豆區北寮段1277、1278、1279、1280、1281、1282、1283、1284、1285、1286、1297、1384、1400、1401、1402、1407、1408、1409、1410、1418  等21筆地號 
67000180,茄苳坑垃圾衛生掩埋場,新化區礁坑子段1974地號
67000200,（簡易）垃圾掩埋場,新市區潭頂段1098-0000、1098-0001、1098-0002等3筆地號
67000200,潭頂垃圾衛生掩埋場,新市區潭頂段0402、0403、0403-1、0404、0405、0406、0460-0000、0460-0001等8筆地號
67000010,一期垃圾衛生掩埋場,新營區後鎮段第2877-0000、2880-0000等2筆地號
67000010,二期垃圾衛生掩埋場,新營區後鎮段第2877-0000、2880-0000等2筆地號
67000010,三期垃圾衛生掩埋場,新營區後鎮段第2860、2861、2862、2863、2864、2865、2866、2867、2868、2870、2871、2875、2878等14筆地號
67000010,五期垃圾衛生掩埋場,新營區後鎮段2829、2830、2831、2832、2833、2834、2835、2836、2837、2838、2839、2840、2841、2842、2843、2844、2845、2846、2847、2848、2849、2850、2851、2851-0001、2852、2853、2854、2854-1、2855、2856 等30筆地號
67000010,四期垃圾衛生掩埋場,新營區後鎮段第2860-0000、2861-0000、2878-0000等3筆地號
67000240,垃圾衛生掩埋場,楠西區龜丹段0263-0013、0263-0014、0263-0015、0263－0016、0263-0017、0263-0018、0263-0019、0263-0020、0263-0021、0263-0041、0263-0042等11筆地號
67000130,一期垃圾衛生掩埋場,學甲區學甲段0696-0001、0697-0060、0697-0119等3筆地號
67000130,二期垃圾衛生掩埋場,學甲區學甲段0696-0001、0697-0060、0697-0119等3筆地號
67000130,三期垃圾衛生掩埋場,學甲區學甲段0696－0001號、0697－0060地號、0697－0119等3筆地號
67000280,一期垃圾衛生掩埋場,歸仁區大苓段637-2地號（部分）
67000280,二期垃圾衛生掩埋場,歸仁區大苓段637-2（部分）、664、666、667、668等5筆地號
67000020,一期垃圾衛生掩埋場,鹽水區舊營段後寮小段1539-0000、1540-0000、1541-0000、1542-0000、1543-0000、1544-0000、1545-0000、1546-0000、1547-0000等9筆地號
67000020,二期垃圾衛生掩埋場,鹽水區後窄里舊營段後寮小段1551、1552、1553、1554、1555、1556、1557、1558、1559、1560、1561、1562、1563、1564、1565等15筆地號
67000190,掩埋場,善化區胡厝寮段2171-0000、2171-0001、2172-0000等3筆地號
67000120,龍安段掩埋場,佳里區龍安段461、462、463、465地號共4筆
