id,農業,森林,交通,水利,商業,純住宅,混合住宅,製造業,倉儲,宗教,殯葬,其他建築用地,學校,醫療,其他公共利用土地,遊憩,礦業,其他
1,5241,0,0,846,0,0,0,0,0,0,0,0,0,0,0,0,0,969
2,3970,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,1718
3,4395,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,1823
4,3110,0,0,1452,0,0,0,0,0,0,1271,0,0,0,0,0,0,1223
5,0,0,0,3222,0,0,0,0,0,0,3447,0,0,0,0,0,0,387
6,0,869,0,1693,0,0,0,0,0,0,4222,0,0,0,0,0,0,272
7,0,750,149,5,0,0,0,0,198,382,1901,0,0,0,0,1012,0,2659
8,0,0,2285,359,2474,0,0,0,0,505,0,0,3,0,262,69,0,1099
9,1004,0,366,316,210,632,0,0,0,0,0,70,3591,0,0,352,0,515
10,5132,0,0,0,0,0,0,0,0,0,0,0,444,0,0,0,0,1480
11,4723,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,2068
12,4699,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,2106
13,3169,0,309,850,0,3,0,0,0,0,0,0,0,0,0,0,0,2725
14,2689,0,275,263,818,913,0,502,0,0,0,0,0,0,0,0,0,1596
15,1953,0,161,645,50,0,0,0,18,543,0,0,0,0,0,0,0,3686
16,4314,0,490,0,0,185,0,0,42,0,0,0,0,0,0,0,0,2025
17,4522,0,271,274,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
18,3795,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2849
19,3967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3089
20,3095,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3772
21,4556,0,283,0,0,222,0,0,0,0,0,0,0,0,0,0,0,1995
22,4096,0,339,0,1252,129,0,0,0,0,0,0,0,0,0,0,0,1240
23,3595,0,2120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1340
24,1007,0,4495,235,0,145,0,0,0,0,0,0,0,0,0,0,0,1174
25,506,0,4453,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,976
26,0,234,2198,669,0,0,0,0,0,0,0,0,0,0,0,0,0,3955
27,1041,1145,184,158,0,199,0,182,0,0,0,0,0,0,0,0,0,4147
28,3948,0,0,0,0,0,0,2094,0,0,0,0,0,0,0,0,0,1014
29,4866,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1849
30,4794,348,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
31,255,2979,74,3593,0,0,0,0,0,0,0,0,0,0,0,0,0,155
32,0,0,0,6618,0,0,0,0,0,0,0,0,0,0,0,0,0,438
33,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
