,id,left,top,right,bottom,活動中心數量,郵局數量,公車站數量,火車站數量,加油站數量,停車場數量,腳踏車站點數量,寺廟數量,大賣數量,服飾數量,便利商店數量,超市美妝數量,電子賣場數量,銀行數量,ATM數量,大學數量,高中數量,國小數量,國中數量,補習班數量,嫌惡設施_危險數量,嫌惡設施_殯葬數量,嫌惡設施_髒亂數量,食物數量,診所數量,醫院數量,禮品百貨數量,觀光景點數量,房屋稅數量,地段率總和,折舊年數總和,平均地段率,平均折舊年數,預測值,誤差
3275,3276,13375540.3256,2631936.2672999995,13375640.3256,2631836.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1560,591,130.0,49.0,128.85023498535156,1.1497650146484375
4120,4121,13376140.3256,2632036.2673,13376240.3256,2631936.2672999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1980,582,132.0,39.0,133.73754119873047,1.7375411987304688
4402,4403,13376340.3256,2632036.2673,13376440.3256,2631936.2672999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,1,130,18,130.0,18.0,133.51470184326172,3.5147018432617188
4543,4544,13376440.3256,2632036.2673,13376540.325599998,2631936.2672999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,1,130,51,130.0,51.0,128.07762145996094,1.9223785400390625
4684,4685,13376540.325599998,2632036.2673,13376640.3256,2631936.2672999995,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1,130,56,130.0,56.0,129.11859130859375,0.88140869140625
4685,4686,13376540.325599998,2631936.2672999995,13376640.3256,2631836.2673,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,130,16,130.0,16.0,128.95806503295898,1.0419349670410156
4691,4692,13376540.325599998,2631336.2673,13376640.3256,2631236.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,360,51,120.0,17.0,119.1128921508789,0.8871078491210938
4823,4824,13376640.3256,2632236.2673,13376740.3256,2632136.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,130,55,130.0,55.0,127.41524887084961,2.5847511291503906
4825,4826,13376640.3256,2632036.2673,13376740.3256,2631936.2672999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,260,89,130.0,45.0,130.30751037597656,0.3075103759765625
5574,5575,13377140.3256,2627636.2673,13377240.3256,2627536.2672999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,200,74,100.0,37.0,100.83577156066895,0.8357715606689453
5575,5576,13377140.3256,2627536.2672999995,13377240.3256,2627436.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100,19,100.0,19.0,99.97972869873047,0.02027130126953125
5576,5577,13377140.3256,2627436.2673,13377240.3256,2627336.2673,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,300,78,100.0,26.0,99.60475730895996,0.39524269104003906
5579,5580,13377140.3256,2627136.2672999995,13377240.3256,2627036.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100,14,100.0,14.0,97.83240127563477,2.1675987243652344
5716,5717,13377240.3256,2627536.2672999995,13377340.3256,2627436.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,200,51,100.0,26.0,100.13899421691895,0.1389942169189453
5717,5718,13377240.3256,2627436.2673,13377340.3256,2627336.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,600,354,100.0,59.0,99.33372497558594,0.6662750244140625
5718,5719,13377240.3256,2627336.2673,13377340.3256,2627236.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,300,198,100.0,66.0,98.3762264251709,1.6237735748291016
5719,5720,13377240.3256,2627236.2673,13377340.3256,2627136.2672999995,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,200,110,100.0,55.0,99.41780471801758,0.5821952819824219
5720,5721,13377240.3256,2627136.2672999995,13377340.3256,2627036.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100,41,100.0,41.0,99.45242691040039,0.5475730895996094
5809,5810,13377340.3256,2632336.2672999995,13377440.3256,2632236.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,130,36,130.0,36.0,130.94860458374023,0.9486045837402344
5810,5811,13377340.3256,2632236.2673,13377440.3256,2632136.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1430,395,130.0,36.0,131.03278732299805,1.0327873229980469
5811,5812,13377340.3256,2632136.2673,13377440.3256,2632036.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,260,47,130.0,24.0,129.69638442993164,0.3036155700683594
5856,5857,13377340.3256,2627636.2673,13377440.3256,2627536.2672999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100,43,100.0,43.0,102.71588325500488,2.715883255004883
5857,5858,13377340.3256,2627536.2672999995,13377440.3256,2627436.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,200,109,100.0,55.0,99.86898422241211,0.13101577758789062
5858,5859,13377340.3256,2627436.2673,13377440.3256,2627336.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,600,503,100.0,84.0,99.65431785583496,0.34568214416503906
5859,5860,13377340.3256,2627336.2673,13377440.3256,2627236.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,500,309,100.0,62.0,99.61909866333008,0.3809013366699219
5860,5861,13377340.3256,2627236.2673,13377440.3256,2627136.2672999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,700,432,100.0,62.0,99.03630638122559,0.9636936187744141
5861,5862,13377340.3256,2627136.2672999995,13377440.3256,2627036.2673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,700,267,100.0,38.0,97.64700508117676,2.352994918823242
5862,5863,13377340.3256,2627036.2673,13377440.3256,2626936.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,400,159,100.0,40.0,98.77691841125488,1.2230815887451172
5948,5949,13377440.3256,2632536.2673,13377540.3256,2632436.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,240,37,120.0,19.0,118.89208221435547,1.1079177856445312
5950,5951,13377440.3256,2632336.2672999995,13377540.3256,2632236.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,650,189,130.0,38.0,130.1846160888672,0.1846160888671875
5951,5952,13377440.3256,2632236.2673,13377540.3256,2632136.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,650,190,130.0,38.0,131.19057846069336,1.1905784606933594
5952,5953,13377440.3256,2632136.2673,13377540.3256,2632036.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1040,278,130.0,35.0,129.20000839233398,0.7999916076660156
