,id,left,top,right,bottom,活動中心,郵局,公車站,火車站,加油站,停車場,腳踏車,寺廟,大賣場,服飾,便利商店,超市美妝,電子賣場,銀行,ATM,大學,高中,國小,國中,補習班,嫌惡設施_危險,嫌惡設施_殯葬,嫌惡設施_髒亂,食物,診所,醫院,禮品百貨,觀光景點,房屋稅數量,地段率總和,折舊年數總和,平均地段率,平均折舊年數,EPSG3857_X,EPSG3857_Y,距最近火車站距離,公園,土地單價,預測值
0,1,13373240.3256,2635136.2673,13373340.3256,2635036.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2635086.2673,8583.1767164421,0,,97.97257041931152
1,2,13373240.3256,2635036.2673,13373340.3256,2634936.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634986.2673,8550.34238231225,0,,98.83556365966797
2,3,13373240.3256,2634936.2673,13373340.3256,2634836.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634886.2673,8518.36543236323,0,,100.76206588745117
3,4,13373240.3256,2634836.2673,13373340.3256,2634736.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634786.2673,8487.25557541836,0,,98.7286434173584
4,5,13373240.3256,2634736.2673,13373340.3256,2634636.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634686.2673,8457.02239843321,0,,98.76319122314453
5,6,13373240.3256,2634636.2673,13373340.3256,2634536.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634586.2673,8427.67535432669,0,,100.00286102294922
6,7,13373240.3256,2634536.2673,13373340.3256,2634436.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634486.2673,8399.22374965214,0,,100.36741828918457
7,8,13373240.3256,2634436.2673,13373340.3256,2634336.2673,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634386.2673,8371.6767321244,0,,99.93437385559082
8,9,13373240.3256,2634336.2673,13373340.3256,2634236.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634286.2673,8345.04327805368,0,,97.5599422454834
9,10,13373240.3256,2634236.2673,13373340.3256,2634136.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13373290.3256,2634186.2673,8319.33217969435,0,,96.95734977722168
