,id,left,top,right,bottom,活動中心數量,郵局數量,公車站數量,火車站數量,加油站數量,停車場數量,腳踏車站點數量,寺廟數量,大賣數量,服飾數量,便利商店數量,超市美妝數量,電子賣場數量,電信業者,銀行數量,ATM數量,大學數量,高中數量,國小數量,國中數量,補習班數量,嫌惡設施_危險數量,嫌惡設施_殯葬數量,嫌惡設施_髒亂數量,食物數量,診所數量,醫院數量,禮品百貨數量,觀光景點數量,房屋稅數量,地段率總和,折舊年數總和,平均地段率,平均折舊年數,預測值,誤差
13036,13037,13375540.33,2631936.267,13375590.33,2631886.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1560,591,130.0,49.0,130.10557556152344,0.1055755615234375
16418,16419,13376140.33,2632036.267,13376190.33,2631986.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,420,142,140.0,47.0,140.84312057495117,0.8431205749511719
16700,16701,13376190.33,2632036.267,13376240.33,2631986.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1560,440,130.0,37.0,130.7134895324707,0.7134895324707031
17546,17547,13376340.33,2632036.267,13376390.33,2631986.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,130,18,130.0,18.0,129.97769927978516,0.02230072021484375
18110,18111,13376440.33,2632036.267,13376490.33,2631986.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,130,51,130.0,51.0,129.2709503173828,0.7290496826171875
18675,18676,13376540.33,2631986.267,13376590.33,2631936.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,130,56,130.0,56.0,130.0089111328125,0.0089111328125
18688,18689,13376540.33,2631336.267,13376590.33,2631286.267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,360,51,120.0,17.0,120.61855697631836,0.6185569763183594
18958,18959,13376590.33,2631936.267,13376640.33,2631886.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,16,130.0,16.0,130.49502563476562,0.495025634765625
19235,19236,13376640.33,2632186.267,13376690.33,2632136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,55,130.0,55.0,130.90444946289062,0.904449462890625
19239,19240,13376640.33,2631986.267,13376690.33,2631936.267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,89,130.0,45.0,130.09207153320312,0.092071533203125
22146,22147,13377140.33,2627636.267,13377190.33,2627586.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,74,100.0,37.0,101.43508529663086,1.4350852966308594
22150,22151,13377140.33,2627436.267,13377190.33,2627386.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,5,100.0,5.0,101.17844009399414,1.1784400939941406
22431,22432,13377190.33,2627486.267,13377240.33,2627436.267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,19,100.0,19.0,99.71732139587402,0.28267860412597656
22432,22433,13377190.33,2627436.267,13377240.33,2627386.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,43,100.0,43.0,100.81542015075684,0.8154201507568359
22433,22434,13377190.33,2627386.267,13377240.33,2627336.267,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,100,30,100.0,30.0,101.02628517150879,1.026285171508789
22439,22440,13377190.33,2627086.267,13377240.33,2627036.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,14,100.0,14.0,99.91633415222168,0.08366584777832031
22712,22713,13377240.33,2627536.267,13377290.33,2627486.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,8,100.0,8.0,101.76121711730957,1.7612171173095703
22713,22714,13377240.33,2627486.267,13377290.33,2627436.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,43,100.0,43.0,100.60626983642578,0.6062698364257812
22714,22715,13377240.33,2627436.267,13377290.33,2627386.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,96,100.0,48.0,101.17032814025879,1.170328140258789
22715,22716,13377240.33,2627386.267,13377290.33,2627336.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,100.0,100.0,99.9635181427002,0.03648185729980469
22716,22717,13377240.33,2627336.267,13377290.33,2627286.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,58,100.0,58.0,100.95194816589355,0.9519481658935547
22996,22997,13377290.33,2627436.267,13377340.33,2627386.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,95,100.0,48.0,100.4365177154541,0.43651771545410156
22997,22998,13377290.33,2627386.267,13377340.33,2627336.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,63,100.0,63.0,100.53500747680664,0.5350074768066406
22998,22999,13377290.33,2627336.267,13377340.33,2627286.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,96,100.0,96.0,100.18452072143555,0.18452072143554688
22999,23000,13377290.33,2627286.267,13377340.33,2627236.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,44,100.0,44.0,101.28254318237305,1.2825431823730469
23000,23001,13377290.33,2627236.267,13377340.33,2627186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,71,100.0,71.0,100.23100852966309,0.23100852966308594
23001,23002,13377290.33,2627186.267,13377340.33,2627136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,39,100.0,39.0,100.27436256408691,0.27436256408691406
23002,23003,13377290.33,2627136.267,13377340.33,2627086.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,41,100.0,41.0,99.50528144836426,0.4947185516357422
23182,23183,13377340.33,2632236.267,13377390.33,2632186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,75,130.0,38.0,130.80110549926758,0.8011054992675781
23183,23184,13377340.33,2632186.267,13377390.33,2632136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,76,130.0,38.0,130.8765411376953,0.8765411376953125
23184,23185,13377340.33,2632136.267,13377390.33,2632086.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,9,130.0,9.0,130.3531036376953,0.3531036376953125
23275,23276,13377340.33,2627586.267,13377390.33,2627536.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,43,100.0,43.0,102.08572196960449,2.085721969604492
23276,23277,13377340.33,2627536.267,13377390.33,2627486.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,56,100.0,56.0,100.18730354309082,0.1873035430908203
23279,23280,13377340.33,2627386.267,13377390.33,2627336.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,139,100.0,70.0,100.19858169555664,0.19858169555664062
23280,23281,13377340.33,2627336.267,13377390.33,2627286.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,300,177,100.0,59.0,100.90828132629395,0.9082813262939453
23283,23284,13377340.33,2627186.267,13377390.33,2627136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,96,100.0,48.0,100.14452934265137,0.1445293426513672
23286,23287,13377340.33,2627036.267,13377390.33,2626986.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,36,100.0,36.0,99.60912704467773,0.3908729553222656
23463,23464,13377390.33,2632286.267,13377440.33,2632236.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,36,130.0,36.0,130.61532592773438,0.615325927734375
23464,23465,13377390.33,2632236.267,13377440.33,2632186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,520,152,130.0,38.0,130.37044525146484,0.37044525146484375
23465,23466,13377390.33,2632186.267,13377440.33,2632136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,390,92,130.0,31.0,130.29722213745117,0.2972221374511719
23466,23467,13377390.33,2632136.267,13377440.33,2632086.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,38,130.0,38.0,130.79220581054688,0.792205810546875
23559,23560,13377390.33,2627486.267,13377440.33,2627436.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,53,100.0,53.0,101.47635841369629,1.476358413696289
23560,23561,13377390.33,2627436.267,13377440.33,2627386.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,400,364,100.0,91.0,99.80241203308105,0.1975879669189453
23562,23563,13377390.33,2627336.267,13377440.33,2627286.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,69,100.0,69.0,100.6540412902832,0.6540412902832031
23563,23564,13377390.33,2627286.267,13377440.33,2627236.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,63,100.0,63.0,100.65161514282227,0.6516151428222656
23564,23565,13377390.33,2627236.267,13377440.33,2627186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,108,100.0,108.0,100.79812812805176,0.7981281280517578
23565,23566,13377390.33,2627186.267,13377440.33,2627136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,400,228,100.0,57.0,100.2226734161377,0.2226734161376953
23566,23567,13377390.33,2627136.267,13377440.33,2627086.267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,300,103,100.0,34.0,100.41700553894043,0.4170055389404297
23567,23568,13377390.33,2627086.267,13377440.33,2627036.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,400,164,100.0,41.0,99.6338882446289,0.36611175537109375
23568,23569,13377390.33,2627036.267,13377440.33,2626986.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,300,123,100.0,41.0,99.93687057495117,0.06312942504882812
23740,23741,13377440.33,2632536.267,13377490.33,2632486.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,240,37,120.0,19.0,120.19500350952148,0.19500350952148438
23745,23746,13377440.33,2632286.267,13377490.33,2632236.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,390,113,130.0,38.0,130.37862396240234,0.37862396240234375
23747,23748,13377440.33,2632186.267,13377490.33,2632136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,76,130.0,38.0,129.65093994140625,0.34906005859375
23748,23749,13377440.33,2632136.267,13377490.33,2632086.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,390,113,130.0,38.0,130.34365844726562,0.343658447265625
23749,23750,13377440.33,2632086.267,13377490.33,2632036.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,27,130.0,27.0,130.17191314697266,0.17191314697265625
23840,23841,13377440.33,2627536.267,13377490.33,2627486.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,93,100.0,93.0,100.89792823791504,0.8979282379150391
23842,23843,13377440.33,2627436.267,13377490.33,2627386.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,98,100.0,98.0,100.00191879272461,0.001918792724609375
23843,23844,13377440.33,2627386.267,13377490.33,2627336.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,134,100.0,67.0,100.49824714660645,0.4982471466064453
23844,23845,13377440.33,2627336.267,13377490.33,2627286.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,99,100.0,99.0,100.14825248718262,0.1482524871826172
23846,23847,13377440.33,2627236.267,13377490.33,2627186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,43,100.0,43.0,100.30350494384766,0.30350494384765625
23847,23848,13377440.33,2627186.267,13377490.33,2627136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,44,100.0,44.0,100.16019058227539,0.16019058227539062
23848,23849,13377440.33,2627136.267,13377490.33,2627086.267,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,8,100.0,8.0,100.28189277648926,0.2818927764892578
23849,23850,13377440.33,2627086.267,13377490.33,2627036.267,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,82,100.0,41.0,100.82762908935547,0.8276290893554688
24027,24028,13377490.33,2632286.267,13377540.33,2632236.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,76,130.0,38.0,130.51023864746094,0.5102386474609375
24028,24029,13377490.33,2632236.267,13377540.33,2632186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,76,130.0,38.0,129.91985702514648,0.08014297485351562
24029,24030,13377490.33,2632186.267,13377540.33,2632136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,38,130.0,38.0,130.58056259155273,0.5805625915527344
24030,24031,13377490.33,2632136.267,13377540.33,2632086.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,72,130.0,36.0,130.7217903137207,0.7217903137207031
24031,24032,13377490.33,2632086.267,13377540.33,2632036.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,66,130.0,33.0,129.96295166015625,0.03704833984375
24125,24126,13377490.33,2627386.267,13377540.33,2627336.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,81,100.0,81.0,99.97861289978027,0.021387100219726562
24126,24127,13377490.33,2627336.267,13377540.33,2627286.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,55,100.0,55.0,99.98842430114746,0.011575698852539062
24127,24128,13377490.33,2627286.267,13377540.33,2627236.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,86,100.0,43.0,100.12994956970215,0.12994956970214844
24128,24129,13377490.33,2627236.267,13377540.33,2627186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,300,131,100.0,44.0,100.73539924621582,0.7353992462158203
24130,24131,13377490.33,2627136.267,13377540.33,2627086.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,43,100.0,43.0,99.47333717346191,0.5266628265380859
24131,24132,13377490.33,2627086.267,13377540.33,2627036.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,52,100.0,52.0,100.11678504943848,0.11678504943847656
24132,24133,13377490.33,2627036.267,13377540.33,2626986.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,26,100.0,26.0,100.3266544342041,0.32665443420410156
24133,24134,13377490.33,2626986.267,13377540.33,2626936.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,42,100.0,42.0,100.89460945129395,0.8946094512939453
24309,24310,13377540.33,2632286.267,13377590.33,2632236.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,38,130.0,38.0,130.66603469848633,0.6660346984863281
24310,24311,13377540.33,2632236.267,13377590.33,2632186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,76,130.0,38.0,130.7679214477539,0.7679214477539062
24311,24312,13377540.33,2632186.267,13377590.33,2632136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,75,130.0,38.0,130.39797592163086,0.3979759216308594
24312,24313,13377540.33,2632136.267,13377590.33,2632086.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,520,148,130.0,37.0,130.98407745361328,0.9840774536132812
24313,24314,13377540.33,2632086.267,13377590.33,2632036.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,29,130.0,29.0,130.48009490966797,0.48009490966796875
24414,24415,13377540.33,2627036.267,13377590.33,2626986.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,200,56,100.0,28.0,100.20610618591309,0.20610618591308594
24592,24593,13377590.33,2632236.267,13377640.33,2632186.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,38,130.0,38.0,130.40925216674805,0.4092521667480469
24593,24594,13377590.33,2632186.267,13377640.33,2632136.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,76,130.0,38.0,130.7183723449707,0.7183723449707031
24595,24596,13377590.33,2632086.267,13377640.33,2632036.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,260,58,130.0,29.0,130.8261833190918,0.8261833190917969
24596,24597,13377590.33,2632036.267,13377640.33,2631986.267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,29,130.0,29.0,131.30508041381836,1.3050804138183594
24601,24602,13377590.33,2631786.267,13377640.33,2631736.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,42,130.0,42.0,131.88277435302734,1.8827743530273438
24695,24696,13377590.33,2627086.267,13377640.33,2627036.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,78,100.0,78.0,100.79274368286133,0.7927436828613281
24700,24701,13377590.33,2626836.267,13377640.33,2626786.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,14,100.0,14.0,104.58830642700195,4.588306427001953
25515,25516,13377740.33,2628386.267,13377790.33,2628336.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,43,120.0,43.0,120.35323333740234,0.35323333740234375
25520,25521,13377740.33,2628136.267,13377790.33,2628086.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,43,120.0,43.0,120.5129165649414,0.5129165649414062
