Unnamed: 0,匯入時間,統計時間,縣市代碼,縣市名稱,學校代碼,學校名稱,1年級班級數,2年級班級數,3年級班級數,4年級班級數,5年級班級數,6年級班級數,1年級男學生數,1年級女學生數,2年級男學生數,2年級女學生數,3年級男學生數,3年級女學生數,4年級男學生數,4年級女學生數,5年級男學生數,5年級女學生數,6年級男學生數,6年級女學生數,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng
1456,20210801,202101,11,臺南市,110328,國立南科高級實驗中學附設國小部,9,9,8,8,8,8,135,93,119,121,106,109,110,104,120,92,111,109,114,98,22,65,1,3,23.1050459,120.2896634
1457,20210801,202101,11,臺南市,114601,市立仁德國小,7,7,6,6,5,6,92,84,96,89,83,77,88,49,66,69,82,65,80,66,12,54,1,1,22.9620775,120.2537785
1458,20210801,202101,11,臺南市,114602,市立文賢國小,1,1,1,1,1,1,7,7,10,11,14,8,14,8,8,8,11,12,17,8,4,8,0,2,22.9079103,120.2132254
1459,20210801,202101,11,臺南市,114603,市立長興國小,2,2,4,2,2,2,27,23,26,25,32,30,23,27,20,16,28,24,27,30,5,18,1,3,22.9904249,120.2605322
1460,20210801,202101,11,臺南市,114604,市立依仁國小,1,1,1,1,1,1,7,8,8,8,7,6,8,9,5,5,9,9,10,11,7,5,0,2,22.9129684,120.2611889
1461,20210801,202101,11,臺南市,114605,市立大甲國小,2,2,2,1,2,2,15,16,18,14,15,25,13,12,19,11,17,25,16,10,7,11,0,3,24.3508271,120.6263633
1462,20210801,202101,11,臺南市,114606,市立仁和國小,1,1,1,2,1,1,13,11,9,8,7,15,18,14,9,8,5,7,13,7,5,10,0,2,24.8967059,121.2776433
1463,20210801,202101,11,臺南市,114607,市立德南國小,5,5,5,4,4,4,62,66,52,66,59,61,37,53,39,50,53,53,49,60,12,35,1,3,22.948759,120.251143
1464,20210801,202101,11,臺南市,114608,市立虎山實驗小學,2,1,1,1,1,2,17,18,14,8,11,15,13,11,13,6,21,16,19,17,4,11,1,1,22.9454506,120.2299063
1465,20210801,202101,11,臺南市,114609,市立歸仁國小,4,5,5,5,3,4,61,49,68,65,60,49,56,42,42,33,51,44,52,39,15,30,0,4,22.9705429,120.2967334
1466,20210801,202101,11,臺南市,114610,市立歸南國小,4,4,5,3,3,3,56,55,53,51,55,47,34,41,34,38,41,38,48,39,11,28,2,3,22.9638483,120.2878261
1467,20210801,202101,11,臺南市,114611,市立保西國小,2,2,2,2,1,2,22,15,21,21,24,14,16,17,7,12,18,14,12,14,9,11,0,2,22.9924807,120.2934525
1468,20210801,202101,11,臺南市,114612,市立大潭國小,1,1,2,1,1,1,11,13,13,14,18,13,15,7,9,15,8,16,20,14,4,9,1,1,22.9143271,120.27162549999998
1469,20210801,202101,11,臺南市,114613,市立關廟國小,2,3,3,2,2,2,32,19,34,27,31,27,28,18,31,22,20,32,29,33,13,13,1,3,22.956979,120.3310449
1470,20210801,202101,11,臺南市,114614,市立五甲國小,5,5,5,5,4,4,69,64,60,67,56,59,51,39,48,39,62,47,52,50,18,33,2,2,22.5981505,120.3339649
1471,20210801,202101,11,臺南市,114615,市立保東國小,1,1,1,1,1,1,5,7,2,8,3,7,5,3,4,5,6,6,6,6,1,11,0,2,22.9943772,120.3087629
1472,20210801,202101,11,臺南市,114616,市立崇和國小,1,1,1,1,1,1,3,5,5,5,4,0,3,1,4,1,6,2,3,6,6,5,0,3,22.9041635,120.3518261
1473,20210801,202101,11,臺南市,114617,市立文和實驗小學,1,1,1,1,1,1,9,9,7,2,9,5,4,4,2,2,4,7,3,4,4,7,0,3,22.919336,120.3473046
1474,20210801,202101,11,臺南市,114618,市立深坑國小,1,1,1,1,1,1,8,3,9,7,5,5,6,3,6,8,8,7,8,4,4,7,0,2,25.0017788,121.6171368
1475,20210801,202101,11,臺南市,114619,市立新光國小,1,1,1,1,1,1,2,2,2,1,4,4,2,2,0,1,0,4,5,2,3,9,0,2,24.1594747,120.7069635
1476,20210801,202101,11,臺南市,114620,市立龍崎國小,2,2,2,2,2,2,3,2,2,6,6,1,4,5,7,5,9,4,7,4,11,11,0,3,22.963915,120.359124
1477,20210801,202101,11,臺南市,114623,市立永康國小,14,16,15,14,13,15,193,185,217,220,202,198,177,173,182,161,198,183,204,202,46,107,0,9,23.0259331,120.2559899
1478,20210801,202101,11,臺南市,114624,市立大灣國小,10,11,12,9,10,10,140,147,141,161,167,125,136,113,128,108,137,133,161,135,32,74,1,7,23.0056442,120.2670424
1479,20210801,202101,11,臺南市,114625,市立三村國小,7,8,8,6,5,7,84,101,114,101,101,102,88,74,79,60,99,79,79,75,22,49,0,5,23.0416828,120.2370854
1480,20210801,202101,11,臺南市,114626,市立西勢國小,3,3,3,2,2,2,37,36,37,34,38,30,21,23,18,15,19,23,20,18,6,18,1,1,23.0187385,120.2753033
1481,20210801,202101,11,臺南市,114627,市立永康區復興國小,4,4,4,4,3,3,45,44,41,43,42,44,27,34,27,38,22,40,24,29,14,26,0,4,23.001268,120.239391
1482,20210801,202101,11,臺南市,114628,市立龍潭國小,5,5,5,4,3,5,72,58,68,60,62,70,51,38,40,39,61,57,66,59,10,39,0,4,23.0334677,120.2677841
1483,20210801,202101,11,臺南市,114629,市立大橋國小,13,13,13,9,9,11,189,183,180,167,176,168,139,116,138,116,124,127,132,124,29,86,1,6,25.0640328,121.5125477
1484,20210801,202101,11,臺南市,114630,市立新化國小,6,6,7,5,6,6,88,83,92,75,93,76,55,62,57,67,73,80,69,67,20,52,1,5,23.037529100000004,120.3106667
1485,20210801,202101,11,臺南市,114631,市立那拔國小,1,1,1,1,1,1,7,11,6,2,11,3,11,3,8,6,10,7,8,9,4,7,0,2,23.068485,120.3493731
1486,20210801,202101,11,臺南市,114632,市立口埤實驗小學,1,1,1,1,1,1,11,4,10,4,13,8,10,11,10,11,5,6,9,6,4,8,0,2,23.025019600000004,120.3486951
1487,20210801,202101,11,臺南市,114633,市立大新國小,2,3,3,2,2,2,29,22,34,27,34,28,20,16,26,23,23,18,37,17,8,18,1,3,24.145955,120.646959
1488,20210801,202101,11,臺南市,114635,市立山上國小,1,1,2,1,1,2,15,13,8,17,16,14,13,9,12,12,10,21,14,12,6,11,0,3,23.1007374,120.3551709
1489,20210801,202101,11,臺南市,114636,市立玉井國小,3,3,3,3,2,5,40,28,35,38,36,26,31,33,27,22,46,45,43,30,9,27,2,2,23.1214733,120.4591112
1490,20210801,202101,11,臺南市,114637,市立層林國小,1,1,1,1,1,1,5,3,8,5,5,2,5,4,1,4,9,6,10,4,4,8,0,2,23.0778994,120.4295119
1491,20210801,202101,11,臺南市,114638,市立楠西國小,2,2,2,2,2,2,23,16,12,20,30,23,24,16,20,15,24,18,26,24,5,19,0,3,23.1741592,120.4849041
1492,20210801,202101,11,臺南市,114639,市立南化國小,1,1,1,1,1,1,5,5,10,5,4,3,7,3,9,12,10,5,13,8,2,11,2,2,23.044513100000003,120.4701373
1493,20210801,202101,11,臺南市,114640,市立北寮國小,1,1,1,1,1,1,4,1,3,2,2,3,6,2,2,3,2,3,4,3,6,6,1,1,23.0762392,120.4945321
1494,20210801,202101,11,臺南市,114641,市立西埔國小,1,1,1,1,1,1,1,1,3,3,2,1,0,3,5,2,4,8,3,7,4,8,0,2,23.0460112,120.4459348
1495,20210801,202101,11,臺南市,114642,市立玉山國小,1,1,1,1,1,1,1,0,3,2,2,1,3,2,1,2,1,4,2,0,5,7,0,3,23.0745448,120.5189747
1496,20210801,202101,11,臺南市,114643,市立瑞峰國小,1,1,0,1,1,1,3,1,1,2,0,1,1,0,2,0,1,1,1,0,2,9,1,1,24.1686556,120.5737781
1497,20210801,202101,11,臺南市,114644,市立左鎮國小,1,1,1,1,1,1,7,4,4,4,5,1,4,4,6,4,4,6,8,4,5,7,0,4,23.0556609,120.40389240000002
1498,20210801,202101,11,臺南市,114646,市立光榮實驗小學,1,1,1,1,1,1,5,4,4,3,4,5,1,3,2,6,5,1,4,2,5,7,0,2,23.0643112,120.38915159999998
1499,20210801,202101,11,臺南市,114647,市立善化國小,2,5,4,3,3,3,35,22,54,41,48,41,33,28,41,32,33,36,27,34,11,27,0,4,23.13574160000001,120.288909
1500,20210801,202101,11,臺南市,114648,市立茄拔國小,1,2,2,1,1,1,7,11,18,17,15,16,12,11,8,13,12,7,10,12,5,9,0,2,23.1381223,120.3246318
1501,20210801,202101,11,臺南市,114649,市立善化區大同國小,2,1,2,2,1,1,15,23,11,13,19,17,17,12,11,7,14,9,14,13,4,10,0,3,23.1564574,120.3076926
1502,20210801,202101,11,臺南市,114650,市立大成國小,9,9,10,7,7,8,128,105,126,120,132,121,92,99,93,91,115,114,132,133,19,67,0,6,24.0912033,120.5475412
1503,20210801,202101,11,臺南市,114651,市立陽明國小,1,1,1,1,1,1,13,13,14,7,11,7,6,5,13,7,5,12,13,9,5,6,1,1,22.6453753,120.3352503
1504,20210801,202101,11,臺南市,114652,市立善糖國小,1,1,1,1,1,1,6,7,6,9,7,5,9,10,4,3,8,6,5,7,4,7,0,2,23.1531937,120.2883402
1505,20210801,202101,11,臺南市,114653,市立小新國小,4,3,3,2,2,2,55,55,36,43,35,32,24,33,20,17,19,25,16,14,8,20,0,2,23.1246916,120.310552
1506,20210801,202101,11,臺南市,114654,市立新市國小,10,11,13,9,8,9,143,140,147,146,166,156,127,95,106,111,123,113,119,130,26,79,0,7,23.0790019,120.2955476
1507,20210801,202101,11,臺南市,114655,市立大社國小,2,2,2,2,2,2,25,19,27,21,25,22,23,14,25,14,23,12,19,17,7,14,1,3,22.7300781,120.3457389
1508,20210801,202101,11,臺南市,114656,市立安定國小,3,3,3,3,2,3,28,36,36,24,32,32,29,28,19,22,31,31,43,22,9,22,2,2,23.1228575,120.2463276
1509,20210801,202101,11,臺南市,114657,市立南安國小,3,4,4,3,3,4,33,40,45,47,49,40,32,39,38,30,46,45,40,40,13,24,1,3,23.0981728,120.22494170000002
1510,20210801,202101,11,臺南市,114658,市立安定區南興國小,2,3,2,2,2,2,20,26,25,34,27,28,16,17,17,17,22,25,23,18,7,16,0,2,23.0806215,120.218523
1511,20210801,202101,11,臺南市,114659,市立麻豆國小,6,6,7,6,6,6,71,82,97,73,96,82,72,71,78,63,86,79,70,77,12,63,1,5,23.1859149,120.2529205
1512,20210801,202101,11,臺南市,114660,市立培文國小,4,5,4,5,4,4,58,43,62,62,59,50,45,46,41,43,55,49,47,37,12,33,2,2,23.1780452,120.2436425
1513,20210801,202101,11,臺南市,114661,市立文正國小,1,1,1,1,1,1,6,8,6,12,6,6,3,4,2,5,7,2,7,2,5,7,1,1,23.1879742,120.2660243
1514,20210801,202101,11,臺南市,114662,市立大山國小,1,1,1,1,1,1,8,13,8,7,10,9,4,3,9,5,12,5,5,5,3,9,1,2,23.1910682,120.2205287
1515,20210801,202101,11,臺南市,114663,市立安業國小,1,1,2,2,1,1,9,7,10,11,17,12,18,9,9,6,6,5,11,4,6,9,0,2,23.1602698,120.2466662
1516,20210801,202101,11,臺南市,114664,市立北勢國小,1,1,1,1,1,1,5,10,10,6,7,9,5,6,3,5,4,5,6,7,6,6,1,3,24.2169352,120.5715381
