Unnamed: 0,匯入時間,統計時間,縣市代碼,縣市名稱,學校代碼,學校名稱,班級數7年級,班級數8年級,班級數9年級,學生數7年級男,學生數7年級女,學生數8年級男,學生數8年級女,學生數9年級男,學生數9年級女,上學年男畢業生,上學年女畢業生,男專任教師,女專任教師,男職員,女職員,lat,lng
487,20210801,202101,11,臺南市,110328,國立南科高級實驗中學附設國中部,9,9,8,134,111,133,109,117,103,102,108,0,0,0,0,23.1060327,120.2922443
488,20210801,202101,11,臺南市,111313,私立南光高中附設國中,7,7,6,165,142,154,156,172,131,163,130,0,0,0,0,23.2981915,120.3148321
489,20210801,202101,11,臺南市,111318,私立鳳和高中附設國中,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,23.2796354,120.326017
490,20210801,202101,11,臺南市,111320,私立港明高中附設國中,12,10,10,315,245,271,201,265,180,273,167,0,0,0,0,23.1189915,120.1952371
491,20210801,202101,11,臺南市,111321,私立興國高中附設國中,5,5,6,126,95,117,78,147,83,126,113,0,0,0,0,23.3128662,120.3223801
492,20210801,202101,11,臺南市,111322,私立明達高中附設國中,2,2,2,34,34,40,31,38,20,40,27,0,0,0,0,23.31057310000001,120.27468190000002
493,20210801,202101,11,臺南市,111323,方濟會學校財團法人臺南市黎明高中附設國中部,8,8,7,171,145,186,161,165,163,228,188,0,0,0,0,23.1733109,120.24718090000002
494,20210801,202101,11,臺南市,111502,私立昭明國中(代用),9,9,9,163,152,162,151,154,154,152,155,27,31,5,4,23.1418954,120.1434133
495,20210801,202101,11,臺南市,114306,市立大灣高中附設國中,18,17,16,267,228,280,195,262,179,227,228,0,0,0,0,23.00666,120.2729047
496,20210801,202101,11,臺南市,114307,市立永仁高中附設國中部,8,9,9,78,79,78,80,89,96,85,109,0,0,0,0,23.0036078,120.24029679999998
497,20210801,202101,11,臺南市,114501,市立仁德國中,8,7,8,101,84,109,79,132,86,112,86,17,46,3,5,22.956055,120.247516
498,20210801,202101,11,臺南市,114502,市立仁德文賢國中,3,2,3,37,26,27,26,37,24,24,33,8,16,0,5,22.9218797,120.2357843
499,20210801,202101,11,臺南市,114503,市立歸仁國中,15,16,15,225,203,220,208,226,191,266,222,38,79,3,10,22.9701939,120.293954
500,20210801,202101,11,臺南市,114504,市立關廟國中,6,6,7,74,82,73,81,77,85,97,92,12,34,1,7,22.9607306,120.3243118
501,20210801,202101,11,臺南市,114505,市立永康國中,19,17,18,257,249,227,249,256,218,244,273,39,100,2,11,23.02773,120.256216
502,20210801,202101,11,臺南市,114508,市立龍崎國中,1,1,1,9,5,6,8,4,4,8,5,5,5,0,4,22.9684964,120.3607674
503,20210801,202101,11,臺南市,114509,市立新化國中,10,10,12,125,98,131,122,132,126,140,111,22,59,2,7,23.033537,120.3122308
504,20210801,202101,11,臺南市,114510,市立善化國中,8,8,9,105,102,102,97,107,124,107,90,14,50,3,6,23.1471128,120.2879407
505,20210801,202101,11,臺南市,114511,市立玉井國中,4,3,4,48,29,40,34,44,52,46,47,9,20,1,5,23.123352,120.47018
