Unnamed: 0,匯入時間,統計時間,裝設金融機構代號,裝設金融機構名稱,裝設地點,裝設縣市,裝設地址,lat,lng
323,20211201,202110,4,臺灣銀行,仁德分行,台南市,台南市仁德區中正路二段899號,22.9653019,120.253241
324,20211201,202110,4,臺灣銀行,六甲頂分行,台南市,台南市永康區中正南路41號,23.0205688,120.21603
325,20211201,202110,4,臺灣銀行,台南分行-無人銀行,台南市,台南市中西區府前路一段155號,22.9889112,120.2066098
326,20211201,202110,4,臺灣銀行,台南分行-無人銀行(外幣),台南市,台南市中西區府前路一段155號,22.9889112,120.2066098
327,20211201,202110,4,臺灣銀行,台南市政府,台南市,台南市安平區永華路二段6號,22.9900044,120.1847657
328,20211201,202110,4,臺灣銀行,台南市政府民治市政中心,台南市,台南市新營區民治路36號,23.3115468,120.3147263
329,20211201,202110,4,臺灣銀行,台灣康寧顯示玻璃股份有限公司,台南市,台南市善化區環東路二段33號,23.1181074,120.2784595
330,20211201,202110,4,臺灣銀行,永康分行,台南市,台南市永康區小東路513號,22.9987661,120.236238
331,20211201,202110,4,臺灣銀行,永康分行-無人銀行,台南市,台南市永康區小東路513號,22.9987661,120.236238
332,20211201,202110,4,臺灣銀行,安平分行,台南市,台南市中西區中正路240號,22.9932847,120.1968765
333,20211201,202110,4,臺灣銀行,安南分行,台南市,台南市安南區安和路二段298號,23.0428855,120.216622
334,20211201,202110,4,臺灣銀行,行內(保安警察南科分隊),台南市,台南市新市區南科三路15號,23.0985836,120.2834062
335,20211201,202110,4,臺灣銀行,奇美醫院柳營分院,台南市,台南市柳營區太康村201號,23.2876668,120.3349024
336,20211201,202110,4,臺灣銀行,南茂科技股份有限公司,台南市,台南市新市區南科七路5號,23.1097552,120.2761369
337,20211201,202110,4,臺灣銀行,南紡購物中心,台南市,台南市東區中華東路一段358號,22.9926568,120.2339848
338,20211201,202110,4,臺灣銀行,南都分行,台南市,台南市中西區忠義路二段180號,22.9965698,120.2042831
339,20211201,202110,4,臺灣銀行,財團法人奇美醫院,台南市,台南市永康區中華路901號,23.0203921,120.2218028
340,20211201,202110,4,臺灣銀行,新營分行-無人銀行,台南市,台南市新營區中正路10號,23.3089269,120.3163691
341,20211201,202110,4,臺灣銀行,群創光電公司,台南市,台南市新市區紫楝路21號,23.1007961,120.2624638
342,20211201,202110,4,臺灣銀行,群創光電公司,台南市,台南市新市區環西路一段3號,23.090159600000003,120.2774192
343,20211201,202110,4,臺灣銀行,臺南分行,台南市,台南市中西區府前路一段155號,22.9889112,120.2066098
344,20211201,202110,4,臺灣銀行,臺南分行營業廳,台南市,台南市中西區府前路一段155號,22.9889112,120.2066098
345,20211201,202110,4,臺灣銀行,臺南市政府財政稅務局,台南市,台南市中西區忠義路一段96號,22.9878472,120.20207759999998
346,20211201,202110,4,臺灣銀行,臺南創新園區分行,台南市,台南市安南區科技公園大道18號,23.043664,120.1452896
695,20211201,202110,5,臺灣土地銀行,土地銀行大灣分行,台南市,台南市永康區永大路二段1062號,23.0181093,120.2628024
696,20211201,202110,5,臺灣土地銀行,土地銀行北台南分行,台南市,台南市北區公園路128之7號,22.9987144,120.207501
697,20211201,202110,5,臺灣土地銀行,土地銀行台南分行,台南市,台南市中西區中正路28號,22.992183,120.2030938
698,20211201,202110,5,臺灣土地銀行,土地銀行永康分行,台南市,台南市永康區中山南路20號,23.0120123,120.2273288
699,20211201,202110,5,臺灣土地銀行,土地銀行白河分行,台南市,台南市白河區三民路395號,23.3516486,120.414829
700,20211201,202110,5,臺灣土地銀行,土地銀行安平分行,台南市,台南市安平區中華西路二段23號,22.987004100000004,120.1864848
701,20211201,202110,5,臺灣土地銀行,土地銀行安南分行,台南市,台南市安南區海佃路3段47號,23.0481734,120.1828149
702,20211201,202110,5,臺灣土地銀行,土地銀行東台南分行,台南市,台南市東區東門路3段261號,22.9763883,120.2362246
703,20211201,202110,5,臺灣土地銀行,土地銀行新市分行,台南市,台南市新市區復興路10號,23.0803001,120.2955267
704,20211201,202110,5,臺灣土地銀行,土地銀行新營分行,台南市,台南市新營區中山路79號,23.306026,120.320855
705,20211201,202110,5,臺灣土地銀行,土地銀行學甲分行,台南市,台南市學甲區中正路303號,23.2351212,120.1805221
706,20211201,202110,5,臺灣土地銀行,工研院六甲院區,台南市,台南市六甲區工研路8號,23.2290357,120.3709206
707,20211201,202110,5,臺灣土地銀行,工研院南部分院,台南市,台南市安南區工業二路31號,23.0336033,120.1584336
708,20211201,202110,5,臺灣土地銀行,文弘國際有限公司,台南市,台南市安南區科技公園大道15號,23.0434557,120.146524
