Unnamed: 0,匯入時間,統計時間,縣市,站點UID,業管機關代碼,站點名稱,lat,lng
87171,20211201,202110,台南市,TNN10010,8,台南站,22.98237,120.19759
87172,20211201,202110,台南市,TNN10011,8,臺南火車站(南站),22.99706,120.21119
87173,20211201,202110,台南市,TNN10013,8,臺南火車站(南站),22.99706,120.21119
87174,20211201,202110,台南市,TNN10014,8,塭南里,23.06983,120.22081
87175,20211201,202110,台南市,TNN10015,8,台南站,22.98206,120.19775
87176,20211201,202110,台南市,TNN10019,8,海東國小,23.04889,120.17531
87177,20211201,202110,台南市,TNN10021,8,海東國小,23.04888,120.17569
87178,20211201,202110,台南市,TNN10022,8,鹽行,23.04088,120.23653
87179,20211201,202110,台南市,TNN10023,8,臺南航空站(奇美幸福工廠),22.94842,120.21677
87180,20211201,202110,台南市,TNN10024,8,鹽行,23.04071,120.23662
87181,20211201,202110,台南市,TNN10025,8,裕誠街口,22.98783,120.23957
87182,20211201,202110,台南市,TNN10026,8,新興國宅,22.96162,120.18707
87183,20211201,202110,台南市,TNN10027,8,龍崗國小,22.96158,120.16962
87184,20211201,202110,台南市,TNN10028,8,裕誠街口,22.98794,120.23958
87185,20211201,202110,台南市,TNN10029,8,臺南火車站(南站),22.99721,120.21124
87186,20211201,202110,台南市,TNN10030,8,台糖安南學苑,23.05751,120.15253
87187,20211201,202110,台南市,TNN10031,8,臺南火車站(北站),22.99721,120.21124
87188,20211201,202110,台南市,TNN10032,8,臺南火車站(南站),22.99721,120.21124
87189,20211201,202110,台南市,TNN10033,8,公親里,23.07773,120.20675
87190,20211201,202110,台南市,TNN10034,8,臺南火車站(北站),22.99789,120.21158
87191,20211201,202110,台南市,TNN10040,8,台南醫院,22.99538,120.20931000000002
87192,20211201,202110,台南市,TNN10041,8,中山、民權路口,22.99398,120.20709
87193,20211201,202110,台南市,TNN10042,8,林百貨(中正路),22.99205,120.20221
87194,20211201,202110,台南市,TNN10043,8,中正、西門路口,22.99261,120.19981
87195,20211201,202110,台南市,TNN10044,8,西門、友愛街口,22.99224,120.19834
87196,20211201,202110,台南市,TNN10045,8,小西門(大億麗緻),22.98853,120.19753
87197,20211201,202110,台南市,TNN10046,8,新光三越新天地,22.98661,120.19748
87198,20211201,202110,台南市,TNN10047,8,西門路一段,22.98445,120.19752
87199,20211201,202110,台南市,TNN10048,8,台南站,22.98237,120.19759
87200,20211201,202110,台南市,TNN10049,8,新興國小,22.97887,120.19604
87201,20211201,202110,台南市,TNN10050,8,新興路,22.97753,120.19412
87202,20211201,202110,台南市,TNN10051,8,南稅三村,22.97672,120.19299
87203,20211201,202110,台南市,TNN10052,8,三官廟,22.97566,120.19141
87204,20211201,202110,台南市,TNN10053,8,北鹽埕,22.97365,120.19061
87205,20211201,202110,台南市,TNN10054,8,日新國小,22.97179,120.19057
87206,20211201,202110,台南市,TNN10055,8,鹽埕,22.97042,120.19044
87207,20211201,202110,台南市,TNN10056,8,新都路口,22.96788,120.19017
87208,20211201,202110,台南市,TNN10057,8,金華路一段,22.96589,120.18987
87209,20211201,202110,台南市,TNN10058,8,日新橋,22.96273,120.18938
87210,20211201,202110,台南市,TNN10059,8,南區區公所,22.96031,120.18832
87211,20211201,202110,台南市,TNN10060,8,明興路,22.95802,120.18675
87212,20211201,202110,台南市,TNN10061,8,風櫃門,22.95058,120.18436
87213,20211201,202110,台南市,TNN10062,8,勞工住宅,22.94621,120.17989
87214,20211201,202110,台南市,TNN10063,8,北喜樹,22.94397,120.17981
87215,20211201,202110,台南市,TNN10064,8,喜樹,22.94023,120.17794
87216,20211201,202110,台南市,TNN10065,8,喜南里,22.93895,120.17836
87217,20211201,202110,台南市,TNN10066,8,省躬國小,22.93304,120.18031
87218,20211201,202110,台南市,TNN10067,8,寮仔,22.93275,120.18237
87219,20211201,202110,台南市,TNN10068,8,興農公園,22.92909,120.18549
87220,20211201,202110,台南市,TNN10069,8,馬鎮宮,22.92628,120.18577
87221,20211201,202110,台南市,TNN10071,8,同安里,22.92283,120.18481
87222,20211201,202110,台南市,TNN10072,8,南萣橋北,22.92137,120.18451
87223,20211201,202110,台南市,TNN10073,8,南萣橋南,22.91604,120.18526
87224,20211201,202110,台南市,TNN10074,8,白砂崙,22.91409,120.18548
87225,20211201,202110,台南市,TNN10075,8,白砂崙廟口,22.91258,120.18509
87226,20211201,202110,台南市,TNN10076,8,茄萣農會,22.91125,120.18477
87227,20211201,202110,台南市,TNN10077,8,茄萣電信局,22.90951,120.18443
87228,20211201,202110,台南市,TNN10078,8,威武廟,22.90783,120.18402
87229,20211201,202110,台南市,TNN10079,8,茄萣國中,22.90646,120.18368999999998
87230,20211201,202110,台南市,TNN10080,8,茄萣國小,22.90321,120.18372
87231,20211201,202110,台南市,TNN10081,8,曾厝,22.90079,120.18407
87232,20211201,202110,台南市,TNN10082,8,頂茄萣,22.89846,120.18462
87233,20211201,202110,台南市,TNN10083,8,下茄萣,22.89577,120.18503
87234,20211201,202110,台南市,TNN10084,8,光萣,22.89287,120.18623
87235,20211201,202110,台南市,TNN10087,8,成功橋,22.88923,120.18708
87236,20211201,202110,台南市,TNN10088,8,光萣,22.89288,120.18636
87237,20211201,202110,台南市,TNN10089,8,下茄萣,22.89556,120.18515
87238,20211201,202110,台南市,TNN10090,8,頂茄萣,22.89828,120.18473
87239,20211201,202110,台南市,TNN10091,8,曾厝,22.90149,120.18407
87240,20211201,202110,台南市,TNN10092,8,茄萣國小,22.90368,120.18375
87241,20211201,202110,台南市,TNN10093,8,茄萣國中,22.90639,120.18375
87242,20211201,202110,台南市,TNN10094,8,威武廟,22.90761,120.18403
87243,20211201,202110,台南市,TNN10095,8,茄萣電信局,22.90944,120.18443
87244,20211201,202110,台南市,TNN10096,8,茄萣農會,22.91117,120.18477
87245,20211201,202110,台南市,TNN10097,8,白砂崙廟口,22.91263,120.18501
87246,20211201,202110,台南市,TNN10098,8,白砂崙,22.91446,120.18554
87247,20211201,202110,台南市,TNN10099,8,南萣橋南,22.91614,120.18529
87248,20211201,202110,台南市,TNN10100,8,南萣橋北,22.92119,120.18456
87249,20211201,202110,台南市,TNN10101,8,同安里,22.92331,120.18491000000002
87250,20211201,202110,台南市,TNN10103,8,馬鎮宮,22.92624,120.18586
87251,20211201,202110,台南市,TNN10104,8,興農公園,22.92972,120.18479
87252,20211201,202110,台南市,TNN10105,8,寮仔,22.93265,120.18251
87253,20211201,202110,台南市,TNN10106,8,省躬國小,22.93311,120.18037
87254,20211201,202110,台南市,TNN10107,8,喜南里,22.93871,120.17853
87255,20211201,202110,台南市,TNN10108,8,喜樹,22.94022,120.17803
87256,20211201,202110,台南市,TNN10109,8,北喜樹,22.94374,120.17985
87257,20211201,202110,台南市,TNN10110,8,勞工住宅,22.94653,120.17993
87258,20211201,202110,台南市,TNN10111,8,風櫃門,22.95067,120.18432
87259,20211201,202110,台南市,TNN10112,8,明興路,22.95836,120.18697
87260,20211201,202110,台南市,TNN10113,8,南區區公所,22.96071,120.18888
87261,20211201,202110,台南市,TNN10114,8,日新橋,22.96307,120.18951
87262,20211201,202110,台南市,TNN10115,8,金華路一段,22.96616,120.18994
87263,20211201,202110,台南市,TNN10116,8,新都路口,22.96793,120.19023
87264,20211201,202110,台南市,TNN10117,8,鹽埕,22.97047,120.19051
87265,20211201,202110,台南市,TNN10118,8,日新國小,22.97151,120.19064
87266,20211201,202110,台南市,TNN10119,8,北鹽埕,22.97369,120.19086
87267,20211201,202110,台南市,TNN10120,8,三官廟,22.97566,120.19179
87268,20211201,202110,台南市,TNN10121,8,南稅三村,22.97668,120.19319
87269,20211201,202110,台南市,TNN10122,8,新興路,22.97755,120.19429
87270,20211201,202110,台南市,TNN10123,8,新興國小,22.97896,120.19652
87271,20211201,202110,台南市,TNN10124,8,台南站,22.98206,120.19775
87272,20211201,202110,台南市,TNN10125,8,西門路一段,22.98411,120.19769
87273,20211201,202110,台南市,TNN10126,8,新光三越新天地,22.98695,120.19774
87274,20211201,202110,台南市,TNN10127,8,小西門(大億麗緻),22.98854,120.19769
