Unnamed: 0,匯入時間,統計時間,工廠名稱,地址,中行業別,細行業別,耗用原料,主要產品,lat,lng
52903,20211201,202110,東成飼料股份有限公司,臺南市學甲區新達里瓦寮２２之３號,食品及飼品業,動物飼品製造業,,配合飼料,23.2293147961532,120.212103891355
52904,20211201,202110,匹士克股份有限公司,臺南市學甲區新榮里華宗路７１之２號,機械設備業,流體傳動設備製造業,,空油壓機械零組件,23.22125802583389,120.183515506103
52905,20211201,202110,雅騰電機股份有限公司,臺南市學甲區新榮里華宗路７１號Ｂ棟,電子零組件業,未分類其他電子零組件製造業,銅線、銅粒、塑膠、鐵片,電磁線圈,23.221258116129604,120.183515505554
52906,20211201,202110,利通樹脂股份有限公司台南廠,臺南市學甲區新榮里華宗路１０８號,化學材料業,合成橡膠原料製造業,,塑膠及合成橡膠原料（液態松香皂）,23.2220869942924,120.184181978698
52907,20211201,202110,鱠樂有限公司,臺南市學甲區新榮里華宗路８７號,食品及飼品業,水產加工及保藏業,,水產加工,23.2224370259762,120.18363203011002
52908,20211201,202110,寶榮開發企業股份有限公司工廠,臺南市學甲區新榮里中華路一段８９號,其他製造業,其他未分類製造業,,寵物食品（貓．狗飼料）,23.2222162507669,120.185652602185
52909,20211201,202110,大慈紡織有限公司,臺南市學甲區新榮里華宗路１２０之１號,紡織業,染整業,,撚紗加工,23.223066972596804,120.184002014805
52910,20211201,202110,大德股份有限公司,臺南市學甲區新榮里華宗路１２０號,食品及飼品業,動物飼品製造業,,養魚飼料，澱粉加工,23.223087036479303,120.184005410217
52911,20211201,202110,利威紙業社,臺南市學甲區新榮里華宗路１１８之１號,紙漿、紙及紙製品業,瓦楞紙板及紙容器製造業,,其他紙容器,23.2230089910769,120.184487368151
52912,20211201,202110,志宏實業有限公司,臺南市學甲區新榮里華宗路１２６之２號,紡織業,人造纖維紡紗業,,撚紗、絨紗,23.2228380588082,120.185794507408
