Unnamed: 0,匯入時間,統計時間,銀行代號,分支機構代號,金融機構名稱,分支機構名稱,地址,lat,lng
65,20211201,202110,12,6742,台北富邦商業銀行,台南分行,台南市中西區民生路二段279號,22.9966797,120.1917647
88,20211201,202110,12,7118,台北富邦商業銀行,東寧分行,台南市東區東寧路186號,22.9910402,120.22407549999998
104,20211201,202110,12,7303,台北富邦商業銀行,永康分行,台南市永康區大灣路856號,22.9999295,120.25712450000002
107,20211201,202110,12,7347,台北富邦商業銀行,新營分行,台南市新營區民治路301號,23.305252,120.303237
131,20211201,202110,12,7598,台北富邦商業銀行,東台南分行,台南市東區中華東路三段318號,22.9745829,120.2231632
152,20211201,202110,12,7819,台北富邦商業銀行,北台南分行,台南市北區西門路四段374號,23.014353600000003,120.209909
162,20211201,202110,13,109,國泰世華商業銀行,台南分行,台南市中西區民生路一段62號,22.9933859,120.20321570000002
192,20211201,202110,13,419,國泰世華商業銀行,永康分行,台南市永康區中華路423號,23.009783,120.232801
202,20211201,202110,13,512,國泰世華商業銀行,東台南分行,台南市東區林森路一段395號,22.9854815,120.2215695
213,20211201,202110,13,637,國泰世華商業銀行,成功分行,台南市永康區中華路1號,22.9987439,120.2340998
217,20211201,202110,13,671,國泰世華商業銀行,善化分行,台南市善化區中山路349號,23.132128,120.2937896
240,20211201,202110,13,1128,國泰世華商業銀行,新營分行,台南市新營區中山路134號,23.304995,120.317571
244,20211201,202110,13,1162,國泰世華商業銀行,臨安分行,台南市北區臨安路2段17號,23.0025274,120.1956666
332,20211201,202110,808,152,玉山商業銀行,台南分行,台南市中西區民生路二段76號,22.9953027,120.1971189
339,20211201,202110,808,233,玉山商業銀行,永康分行,台南市永康區永大路二段1518號,23.0250923,120.2611074
358,20211201,202110,808,428,玉山商業銀行,佳里分行,台南市佳里區延平路351號,23.1626219,120.1781392
392,20211201,202110,808,761,玉山商業銀行,東台南分行,台南市東區崇學路108號,22.980398,120.22415
416,20211201,202110,808,1001,玉山商業銀行,新營分行,台南市新營區民治路336號,23.3061532,120.3032634
422,20211201,202110,808,1067,玉山商業銀行,金華分行,台南市南區金華路二段58號,22.9768471,120.1913716
429,20211201,202110,808,1137,玉山商業銀行,仁德分行,台南市仁德區中山路295號,22.9704548,120.2604679
443,20211201,202110,808,1274,玉山商業銀行,鹽行分行,台南市永康區中正北路56號,23.041335600000004,120.23993490000002
447,20211201,202110,808,1311,玉山商業銀行,南永康分行,台南市永康區中華路198號,23.004668,120.23564
456,20211201,202110,808,1403,玉山商業銀行,安南分行,台南市安南區安和路三段159號,23.0475614,120.2180607
468,20211201,202110,812,104,台新國際商業銀行,台南分行,台南市中西區西門路二段389號,22.9986263,120.200476
485,20211201,202110,812,296,台新國際商業銀行,永福分行,台南市中西區永福路二段150號,22.9944241,120.201679
489,20211201,202110,812,333,台新國際商業銀行,崇德分行,台南市東區崇德路260號,22.9775934,120.2220831
490,20211201,202110,812,344,台新國際商業銀行,金華分行,台南市南區金華路二段195號,22.9821398,120.191343
491,20211201,202110,812,355,台新國際商業銀行,後甲分行,台南市東區裕農路520號,22.9883749,120.232937
492,20211201,202110,812,366,台新國際商業銀行,海佃分行,台南市安南區海佃路一段130號,23.0235795,120.191948
520,20211201,202110,812,713,台新國際商業銀行,府城分行,台南市中西區中山路88號,22.9942384,120.2079412
536,20211201,202110,812,872,台新國際商業銀行,永康分行,台南市永康區中華路986號,23.0212681,120.222283
542,20211201,202110,812,931,台新國際商業銀行,永華分行,台南市安平區永華路二段377號,22.98972950000001,120.1798021
565,20211201,202110,822,59,中國信託商業銀行,台南分行,台南市中西區府前路一段159號,22.9888639,120.206118
581,20211201,202110,822,222,中國信託商業銀行,西台南分行,台南市中西區金華路四段212號,23.0011711,120.1961453
592,20211201,202110,822,358,中國信託商業銀行,永康分行,台南市永康區中華路425號,23.0098745,120.232442
601,20211201,202110,822,440,中國信託商業銀行,中華分行,台南市東區中華東路二段195號,22.984385,120.232649
651,20211201,202110,822,1090,中國信託商業銀行,仁德分行,台南市仁德區中山路478號,22.9714718,120.2546976
652,20211201,202110,822,1104,中國信託商業銀行,中台南分行,台南市中西區民生路一段167號,22.9939535,120.2002504
653,20211201,202110,822,1115,中國信託商業銀行,東台南分行,台南市東區長榮路二段290號,22.9911055,120.2215732
655,20211201,202110,822,1137,中國信託商業銀行,南台南分行,台南市南區健康路二段236號,22.981784,120.190871
656,20211201,202110,822,1148,中國信託商業銀行,新營分行,台南市新營區中山路137號,23.304082,120.316723
705,20211201,202110,822,3223,中國信託商業銀行,佳里分行,台南市佳里區中山路410號,23.1634007,120.1769559
707,20211201,202110,822,3245,中國信託商業銀行,鹽行分行,台南市永康區中正北路111號,23.0416752,120.2402103
718,20211201,202110,4,93,臺灣銀行,臺南分行,台南市中西區府前路一段155號,22.9889112,120.2066098
737,20211201,202110,4,288,臺灣銀行,新營分行,台南市新營區中正路10號,23.3089269,120.3163691
749,20211201,202110,4,406,臺灣銀行,安平分行,台南市中西區中正路240號,22.9932847,120.1968765
785,20211201,202110,4,819,臺灣銀行,永康分行,台南市永康區小東路513號,22.9987661,120.236238
812,20211201,202110,4,1377,臺灣銀行,安南分行,台南市安南區安和路二段298號,23.0428855,120.216622
