Unnamed: 0,匯入時間,縣市,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
15490,20211201,台南市,安平區,房地(土地+建物)+車位,,26.26,都市：其他:住宅區,,,1080901,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100413.0,217.87,3,2,2,有,有,15910000.0,77722.0,坡道平面,29.25,1250000.0,預售屋、或土地及建物分件登記案件；,RPPQMLRLQHGGFAD28DA,118.14,13.8,0.0,有
15491,20211201,台南市,安平區,房地(土地+建物)+車位,,37.49,都市：其他:住宅區,,,1080508,土地1建物1車位2,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100413.0,312.67,4,2,3,有,有,21790000.0,75107.0,坡道平面,58.5,2700000.0,預售屋、或土地及建物分件登記案件；,RPUQMLRLQHGGFAD78DA,160.64,16.42,0.0,有
15492,20211201,台南市,中西區,房地(土地+建物),,12.85,都市：其他:商業區,,,1100711,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800515.0,128.79,3,2,2,有,有,4900000.0,38046.0,,0.0,0.0,,RPUNMLNJRHGGFAD97DA,102.76,5.74,0.0,有
15493,20211201,台南市,北區,房地(土地+建物),,24.23,都市：其他:細部計畫道路用地,,,1100820,土地3建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100507.0,69.87,2,1,1,有,有,6840000.0,97896.0,,0.0,0.0,包含公共設施保留地用地；,RPRNMLOJRHGGFAD77DA,49.55,3.59,0.0,有
15494,20211201,台南市,安平區,房地(土地+建物)+車位,,26.89,都市：其他:住宅區,,,1080503,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100413.0,223.07,3,2,2,有,有,15670000.0,74399.0,坡道平面,29.25,1250000.0,預售屋、或土地及建物分件登記案件；,RPUPMLQJRHGGFAD48DA,121.46,14.14,0.0,有
15495,20211201,台南市,安平區,房地(土地+建物)+車位,,37.28,都市：其他:住宅區,,,1080923,土地1建物1車位2,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100413.0,310.3300000000001,4,2,3,有,有,21920000.0,76012.0,坡道平面,56.16,2600000.0,預售屋、或土地及建物分件登記案件；,RPVPMLQJRHGGFAD58DA,160.64,16.42,0.0,有
15496,20211201,台南市,中西區,房地(土地+建物),,5.87,都市：其他:細部計畫道路用地,,,1100829,土地6建物1車位0,三層，走廊,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800213.0,41.97,1,1,1,有,有,1750000.0,41696.0,,0.0,0.0,,RPPOMLRJRHGGFAD97DA,26.83,5.9,0.0,有
15497,20211201,台南市,安平區,房地(土地+建物)+車位,,26.89,都市：其他:住宅區,,,1081003,土地1建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100413.0,223.07,3,2,2,有,有,15970000.0,75947.0,坡道平面,29.25,1250000.0,預售屋、或土地及建物分件登記案件；,RPSNMLSJRHGGFAD28DA,121.46,14.14,0.0,有
15498,20211201,台南市,北區,房地(土地+建物)+車位,,30.43,都市：其他:住宅區,,,1090403,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100623.0,170.44,4,2,2,有,有,12810000.0,73328.0,坡道平面,16.61,1530000.0,權利買賣契約價格1450萬元預售屋、或土地及建物分件登記案件；,RPOQMLSJRHGGFAD18DA,86.93,13.04,0.0,有
15499,20211201,台南市,中西區,房地(土地+建物),,5.32,都市：其他:商業區,,,1100810,土地1建物1車位0,十四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860127.0,63.3,1,1,1,有,有,3820000.0,60348.0,,0.0,0.0,,RPXOMLTJRHGGFAD98DA,36.67,6.49,0.0,有
