匯入時間,統計時間,縣市,停車場名稱,停車場地址,汽車停車位數,機車停車位數,lat,lng
20211201,202110,台南,延平郡王祠大埔街口路外停車場,臺南市中西區開山路與大埔街路口西側,6,0,22.987274,120.208698
20211201,202110,台南,臺南市立棒球場北側路外停車場,臺南市南區健康路1段市立棒球場北側,21,0,22.981203,120.205877
20211201,202110,台南,市立圖書館廣場停車場,臺南市北區公園路市立圖書館前,56,0,23.004306,120.211019
20211201,202110,台南,勝安香草公園路外停車場,臺南市北區開元路63巷勝安香草公園北側,16,0,23.006637,120.215783
20211201,202110,台南,竑穗新營停六停車場,臺南市新營區新營火車站西南側,0,183,23.306363,120.32273
20211201,202110,台南,青年路停E8路外停車場,臺南市東區青年路近育樂街路口南側,74,0,22.991371,120.213666
20211201,202110,台南,大道停6路外停車場,臺南市北區和緯路與北門路口,56,0,23.009284,120.215714
20211201,202110,台南,西門健康停車場,臺南市南區西門路與健康路交叉口,29,0,22.981662,120.197369
20211201,202110,台南,巴克禮紀念公園停車場,臺南市東區中華東路3段之巴克禮紀念公園內,19,19,22.972024,120.223323
20211201,202110,台南,五妃街南側停車場,臺南市中西區五妃街69號旁(近府連路交叉口),56,0,22.982396,120.209069
20211201,202110,台南,五妃街北側停車場,臺南市中西區五妃街60-64號旁(近府連路交叉口),42,0,22.982544,120.209087
20211201,202110,台南,府前路停18停車場,臺南市中西區府前路國立生活美學館側,54,22,22.992228,120.188947
20211201,202110,台南,南門路237巷停車場,臺南市中西區南門路237巷3號右側1061110收費,4,0,22.983286,120.204112
20211201,202110,台南,府前金城臨時停車場,臺南市中西區府前路二段258巷與府前路巷交叉口,7,0,22.992424,120.190714
20211201,202110,台南,321巷藝術聚落路外停車場,臺南市北區公園路321巷尾端,10,25,23.004287,120.208852
20211201,202110,台南,永華國華臨時路外停車場(汽車停車格),臺南市南區永華路及國華街交叉口,5,21,22.987132,120.196353
20211201,202110,台南,大成路一段臨時停車場,臺南市南區大成路一段與水交社路交叉口,102,36,22.974945,120.20028
20211201,202110,台南,中華路橋下西側路外停車場,臺南市東區中華陸橋西側正下方至里民活動中心前方,60,115,22.972502,120.215632
20211201,202110,台南,立德臨時停車場-B區(竑穗興業股份有限公司),臺南市東區立德一路至立德路交叉路口(立德一路東側),15,0,22.976699,120.214742
20211201,202110,台南,立德臨時停車場-C區(竑穗興業股份有限公司),臺南市東區立德一路及立德七路交叉口(立德一路東側),41,0,22.97642,120.214781
20211201,202110,台南,立德臨時停車場-D區(竑穗興業股份有限公司),臺南市東區立德一路與立德六路交叉口(立德一路東側),17,0,22.976094,120.214846
