Unnamed: 0,匯入時間,統計時間,區域別代碼,縣市,鄉鎮市區,村里,戶數,人口數,人口數-男,人口數_人口數_女,人口數_0歲_男,人口數_0歲_女,人口數_1歲_男,人口數_1歲_女,人口數_2歲_男,人口數_2歲_女,人口數_3歲_男,人口數_3歲_女,人口數_4歲_男,人口數_4歲_女,人口數_5歲_男,人口數_5歲_女,人口數_6歲_男,人口數_6歲_女,人口數_7歲_男,人口數_7歲_女,人口數_8歲_男,人口數_8歲_女,人口數_9歲_男,人口數_9歲_女,人口數_10歲_男,人口數_10歲_女,人口數_11歲_男,人口數_11歲_女,人口數_12歲_男,人口數_12歲_女,人口數_13歲_男,人口數_13歲_女,人口數_14歲_男,人口數_14歲_女,人口數_15歲_男,人口數_15歲_女,人口數_16歲_男,人口數_16歲_女,人口數_17歲_男,人口數_17歲_女,人口數_18歲_男,人口數_18歲_女,人口數_19歲_男,人口數_19歲_女,人口數_20歲_男,人口數_20歲_女,人口數_21歲_男,人口數_21歲_女,人口數_22歲_男,人口數_22歲_女,人口數_23歲_男,人口數_23歲_女,人口數_24歲_男,人口數_24歲_女,人口數_25歲_男,人口數_25歲_女,人口數_26歲_男,人口數_26歲_女,人口數_27歲_男,人口數_27歲_女,人口數_28歲_男,人口數_28歲_女,人口數_29歲_男,人口數_29歲_女,人口數_30歲_男,人口數_30歲_女,人口數_31歲_男,人口數_31歲_女,人口數_32歲_男,人口數_32歲_女,人口數_33歲_男,人口數_33歲_女,人口數_34歲_男,人口數_34歲_女,人口數_35歲_男,人口數_35歲_女,人口數_36歲_男,人口數_36歲_女,人口數_37歲_男,人口數_37歲_女,人口數_38歲_男,人口數_38歲_女,人口數_39歲_男,人口數_39歲_女,人口數_40歲_男,人口數_40歲_女,人口數_41歲_男,人口數_41歲_女,人口數_42歲_男,人口數_42歲_女,人口數_43歲_男,人口數_43歲_女,人口數_44歲_男,人口數_44歲_女,人口數_45歲_男,人口數_45歲_女,人口數_46歲_男,人口數_46歲_女,人口數_47歲_男,人口數_47歲_女,人口數_48歲_男,人口數_48歲_女,人口數_49歲_男,人口數_49歲_女,人口數_50歲_男,人口數_50歲_女,人口數_51歲_男,人口數_51歲_女,人口數_52歲_男,人口數_52歲_女,人口數_53歲_男,人口數_53歲_女,人口數_54歲_男,人口數_54歲_女,人口數_55歲_男,人口數_55歲_女,人口數_56歲_男,人口數_56歲_女,人口數_57歲_男,人口數_57歲_女,人口數_58歲_男,人口數_58歲_女,人口數_59歲_男,人口數_59歲_女,人口數_60歲_男,人口數_60歲_女,人口數_61歲_男,人口數_61歲_女,人口數_62歲_男,人口數_62歲_女,人口數_63歲_男,人口數_63歲_女,人口數_64歲_男,人口數_64歲_女,人口數_65歲_男,人口數_65歲_女,人口數_66歲_男,人口數_66歲_女,人口數_67歲_男,人口數_67歲_女,人口數_68歲_男,人口數_68歲_女,人口數_69歲_男,人口數_69歲_女,人口數_70歲_男,人口數_70歲_女,人口數_71歲_男,人口數_71歲_女,人口數_72歲_男,人口數_72歲_女,人口數_73歲_男,人口數_73歲_女,人口數_74歲_男,人口數_74歲_女,人口數_75歲_男,人口數_75歲_女,人口數_76歲_男,人口數_76歲_女,人口數_77歲_男,人口數_77歲_女,人口數_78歲_男,人口數_78歲_女,人口數_79歲_男,人口數_79歲_女,人口數_80歲_男,人口數_80歲_女,人口數_81歲_男,人口數_81歲_女,人口數_82歲_男,人口數_82歲_女,人口數_83歲_男,人口數_83歲_女,人口數_84歲_男,人口數_84歲_女,人口數_85歲_男,人口數_85歲_女,人口數_86歲_男,人口數_86歲_女,人口數_87歲_男,人口數_87歲_女,人口數_88歲_男,人口數_88歲_女,人口數_89歲_男,人口數_89歲_女,人口數_90歲_男,人口數_90歲_女,人口數_91歲_男,人口數_91歲_女,人口數_92歲_男,人口數_92歲_女,人口數_93歲_男,人口數_93歲_女,人口數_94歲_男,人口數_94歲_女,人口數_95歲_男,人口數_95歲_女,人口數_96歲_男,人口數_96歲_女,人口數_97歲_男,人口數_97歲_女,人口數_98歲_男,人口數_98歲_女,人口數_99歲_男,人口數_99歲_女,人口數_100歲以上_男,人口數_100歲以上_女
2617,20211201,202109,67000010001,臺南市,新營區,忠政里,2176,5251,2537,2714,9,5,12,13,16,20,13,14,19,13,21,18,28,23,24,16,16,20,31,27,11,24,13,22,10,20,20,22,18,22,21,16,17,18,16,24,26,19,23,16,24,19,34,27,32,30,31,24,35,23,39,30,41,29,39,33,31,30,40,32,35,46,47,28,36,31,36,25,38,39,30,39,25,38,42,36,30,53,43,48,40,38,29,36,27,22,37,40,29,37,42,33,28,35,29,38,37,39,34,29,33,27,29,29,35,41,35,37,41,45,35,46,37,41,32,37,38,39,46,46,48,66,49,51,30,51,43,66,48,46,49,65,45,45,36,42,41,45,31,35,42,35,24,36,27,36,28,39,19,36,18,14,22,23,23,21,18,22,19,29,11,16,20,18,10,16,11,11,9,12,11,10,10,13,7,11,3,7,3,5,8,6,1,6,1,5,4,4,1,1,0,0,0,2,1,1,1,0,0,0,0,0
2618,20211201,202109,67000010002,臺南市,新營區,民權里,1154,2727,1340,1387,7,3,12,3,3,6,7,8,15,6,23,23,33,37,29,23,20,22,22,13,17,14,10,14,13,12,10,14,17,6,15,10,8,8,8,10,9,10,12,9,14,12,11,17,14,14,16,14,13,16,13,15,20,11,14,24,20,20,15,17,13,14,19,9,12,13,8,13,18,10,9,9,17,17,19,15,17,19,21,14,11,17,15,14,19,15,25,20,17,21,11,19,16,18,13,28,11,22,25,24,17,12,11,26,14,28,18,25,19,21,20,18,23,18,31,21,21,12,14,22,23,24,16,25,16,16,18,24,18,17,17,13,15,22,18,22,15,27,25,19,19,17,13,15,17,12,15,14,13,14,8,9,8,8,10,12,12,10,9,13,10,9,8,9,9,13,4,11,11,6,8,11,7,5,9,7,6,7,6,4,3,7,1,5,4,6,1,2,0,1,1,3,0,2,2,0,0,0,1,1,0,0
2619,20211201,202109,67000010003,臺南市,新營區,三仙里,1274,3237,1563,1674,7,11,13,8,8,14,8,11,8,12,6,11,11,18,10,12,11,8,18,12,9,15,10,8,12,16,14,10,12,9,13,13,10,8,24,14,13,13,17,9,21,16,21,21,14,20,18,18,16,21,26,20,26,23,21,21,20,27,23,19,13,16,24,18,24,21,27,21,19,21,19,13,16,26,30,28,26,31,19,20,18,26,23,20,19,30,25,30,21,19,20,28,20,28,24,15,21,15,18,18,22,15,15,17,24,31,24,31,25,26,23,23,25,30,27,26,23,23,24,26,22,18,29,26,29,16,29,25,17,31,26,21,26,28,23,25,21,33,20,24,20,27,16,24,14,22,12,18,15,18,13,12,12,9,15,17,11,10,9,22,11,19,17,14,9,14,12,11,10,9,6,6,5,8,3,6,4,9,1,4,1,3,3,3,2,3,0,2,1,4,1,1,0,1,0,1,0,0,0,0,0,0
2620,20211201,202109,67000010007,臺南市,新營區,大宏里,1366,3510,1725,1785,8,4,8,7,10,6,10,17,20,20,27,21,46,30,35,12,8,20,19,38,18,21,19,19,30,31,32,44,24,19,20,14,14,13,14,6,12,12,11,9,19,14,19,17,12,14,17,22,13,17,17,14,17,19,15,16,21,19,26,23,18,14,16,17,23,16,23,10,31,24,19,18,21,25,18,30,22,23,34,30,24,33,26,23,17,30,20,24,30,23,21,22,21,20,15,24,16,21,11,22,28,17,16,24,22,29,21,24,25,20,28,22,28,31,24,24,23,26,33,24,26,25,19,31,37,32,28,23,17,19,24,38,23,20,22,27,20,22,24,24,30,19,20,18,21,23,11,19,19,14,9,9,17,13,11,19,10,10,11,14,12,19,5,17,7,11,11,8,14,9,4,12,4,11,4,9,5,13,5,6,6,6,5,7,5,5,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0
2621,20211201,202109,67000010008,臺南市,新營區,王公里,1765,4928,2440,2488,11,7,8,14,13,11,23,11,17,20,20,18,40,37,26,28,29,29,33,39,17,17,28,25,48,28,42,35,31,28,30,27,22,16,29,24,30,27,27,24,39,27,35,31,27,32,24,34,24,32,40,24,26,30,32,29,34,29,39,35,36,34,36,23,37,24,42,23,36,38,28,38,33,23,26,31,33,50,32,38,40,26,32,23,42,37,30,32,30,49,42,39,40,32,34,29,36,37,29,32,29,35,30,33,33,33,43,33,32,38,39,35,30,41,32,37,38,37,27,41,38,38,44,49,32,38,27,39,38,27,38,41,32,32,22,33,31,40,17,31,27,33,15,28,32,35,15,19,27,22,11,15,14,12,10,11,9,13,10,15,14,16,12,14,8,23,9,10,7,8,7,11,2,5,3,8,1,10,3,3,4,2,1,6,3,3,0,1,1,2,3,3,2,2,0,0,0,0,0,0,0,1
2622,20211201,202109,67000010009,臺南市,新營區,中營里,501,1303,661,642,1,3,3,1,4,1,2,3,10,7,2,4,6,0,6,2,3,3,7,5,7,5,9,6,7,1,6,11,4,6,1,4,4,7,10,6,9,9,7,10,10,5,13,6,9,6,8,7,12,14,16,8,12,13,11,5,12,7,8,8,7,6,6,7,6,4,12,3,6,6,6,8,11,6,13,7,7,13,9,12,4,11,2,8,16,7,4,10,14,8,7,11,10,8,5,7,11,4,7,13,5,10,10,10,9,8,13,10,9,11,8,13,14,12,12,11,15,11,10,10,11,13,8,9,14,14,6,16,7,10,6,9,14,18,4,5,7,11,9,7,11,6,12,6,3,6,7,4,2,2,3,4,4,7,2,5,5,3,6,5,4,5,8,5,1,10,2,1,3,2,2,4,1,4,5,2,1,5,1,1,1,2,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2623,20211201,202109,67000010010,臺南市,新營區,土庫里,574,1618,837,781,2,3,1,0,8,3,5,3,3,3,7,7,2,0,4,1,4,5,3,5,6,5,6,2,9,6,9,5,5,7,10,7,12,3,10,15,7,12,9,9,8,12,7,13,12,8,7,10,9,13,13,14,13,11,17,12,10,13,9,13,16,8,9,4,11,6,9,9,5,7,11,8,9,8,9,13,14,8,12,12,11,8,8,19,9,14,12,11,21,11,10,10,8,8,9,7,7,10,13,12,10,12,13,8,16,8,13,10,8,12,18,14,16,12,17,10,12,12,19,17,21,17,16,8,14,10,16,14,16,11,13,18,13,10,11,12,10,9,11,16,11,8,5,5,13,5,3,8,9,6,9,8,4,4,5,7,9,5,7,5,7,11,2,6,4,7,2,2,6,7,3,4,5,1,2,7,1,5,2,4,3,5,0,3,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2624,20211201,202109,67000010012,臺南市,新營區,南興里,1161,2637,1288,1349,1,5,7,4,2,3,10,3,9,7,11,4,4,11,5,8,7,6,8,8,6,4,7,4,4,5,8,11,11,15,12,9,4,15,12,16,12,12,16,14,17,17,15,16,19,6,14,14,17,20,14,20,24,17,24,18,10,15,17,9,10,21,21,13,22,19,19,12,13,8,12,15,15,16,23,13,12,18,19,23,16,18,17,20,20,23,20,16,19,22,19,19,16,18,15,21,18,24,14,19,18,16,24,21,22,17,16,17,29,25,13,30,24,19,25,32,24,18,18,29,22,26,21,23,26,25,16,25,23,17,23,20,24,24,17,26,17,15,15,19,19,25,15,10,22,22,13,16,12,18,5,10,8,6,13,10,4,6,4,15,9,9,10,12,10,13,5,0,5,6,7,10,8,5,9,9,10,9,2,7,3,2,6,2,1,3,1,2,0,2,1,1,1,0,0,1,0,0,0,0,1,0
2625,20211201,202109,67000010013,臺南市,新營區,興業里,918,1975,908,1067,4,3,7,5,3,6,13,5,7,4,4,5,3,2,4,2,4,7,3,8,9,3,10,4,13,7,8,11,13,9,6,5,8,6,6,8,7,11,11,10,10,12,10,15,12,7,13,12,10,18,10,11,14,14,14,10,10,14,8,14,18,11,14,12,14,11,11,18,20,17,15,14,15,20,17,13,17,9,9,14,12,20,18,20,14,15,15,13,10,24,8,14,10,16,11,15,11,11,6,13,16,17,9,12,16,20,15,11,8,13,10,19,10,17,12,17,12,18,10,13,13,16,11,19,11,21,15,17,16,24,15,13,16,19,13,23,13,13,22,17,9,18,10,10,16,13,3,8,6,12,8,6,1,12,5,11,9,10,8,4,7,8,8,6,4,7,3,4,8,9,3,7,2,5,6,5,1,4,0,6,2,3,4,3,1,1,0,4,1,0,1,1,0,3,0,0,0,0,0,0,0,0
2626,20211201,202109,67000010014,臺南市,新營區,民生里,1418,3671,1839,1832,10,7,10,10,9,13,16,10,17,12,14,8,10,10,17,16,19,19,12,16,17,7,22,10,9,15,11,13,12,15,18,11,16,8,14,13,14,18,17,16,28,19,25,18,27,29,19,18,24,20,27,27,28,22,30,30,25,18,32,33,28,24,23,21,22,28,24,35,33,24,27,23,30,33,22,33,33,31,22,25,36,26,28,23,33,35,27,29,22,21,29,27,22,26,18,19,19,19,16,30,21,29,25,28,26,25,28,26,20,21,35,40,37,33,28,26,31,34,33,25,29,19,33,28,28,36,31,29,31,34,21,37,28,24,26,23,32,20,24,24,30,25,22,16,23,21,7,15,15,10,3,7,6,9,9,9,11,22,13,13,10,12,11,12,8,16,8,7,7,6,2,10,5,8,6,11,8,5,1,3,0,7,2,6,0,2,0,1,1,1,0,1,0,0,0,3,0,0,1,0,0,0
