Unnamed: 0,匯入時間,統計時間,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
1239,20210701,2018,臺南市,東　區,路東里,566,566148,1000,663,382,1176,1548.27,154.79
1240,20210701,2018,臺南市,東　區,大福里,487,367535,755,602,369,981,603.25,79.93
1241,20210701,2018,臺南市,東　區,東安里,410,380040,927,605,350,1045,1244.33,134.24
1242,20210701,2018,臺南市,東　區,德高里,896,818887,914,653,387,1076,996.84,109.07
1243,20210701,2018,臺南市,東　區,小東里,1438,1597847,1111,716,391,1332,1446.31,130.16
1244,20210701,2018,臺南市,東　區,後甲里,853,722272,847,644,359,1099,766.85,90.57
1245,20210701,2018,臺南市,東　區,關聖里,1623,2355314,1451,978,480,1889,1619.44,111.59
1246,20210701,2018,臺南市,東　區,圍下里,678,782573,1154,674,381,1298,1513.81,131.15
1247,20210701,2018,臺南市,東　區,虎尾里,1667,1699529,1020,701,407,1260,1086.93,106.61
1248,20210701,2018,臺南市,東　區,中西里,1107,1427813,1290,695,358,1384,5270.44,408.62
1249,20210701,2018,臺南市,東　區,泉南里,1638,1847244,1128,693,393,1306,1498.76,132.9
1250,20210701,2018,臺南市,東　區,龍山里,1883,2774386,1473,930,466,1767,1856.82,126.02
1251,20210701,2018,臺南市,東　區,忠孝里,1433,1404214,980,674,384,1229,1038.89,106.02
1252,20210701,2018,臺南市,東　區,崇誨里,743,557299,750,548,315,951,689.91,91.98
1253,20210701,2018,臺南市,東　區,大學里,458,624167,1363,855,428,1869,1371.61,100.65
1254,20210701,2018,臺南市,東　區,大德里,423,321047,759,538,319,901,718.02,94.6
1255,20210701,2018,臺南市,東　區,東光里,1829,2446153,1337,805,422,1529,1782.61,133.29
1256,20210701,2018,臺南市,東　區,大智里,2171,2011889,927,663,392,1142,854.0,92.15
1257,20210701,2018,臺南市,東　區,新東里,878,928113,1057,694,409,1271,1225.79,115.96
1258,20210701,2018,臺南市,東　區,仁和里,1363,1081235,793,603,379,1034,707.78,89.22
1259,20210701,2018,臺南市,東　區,富強里,1524,1526748,1002,672,384,1229,1097.02,109.51
1260,20210701,2018,臺南市,東　區,衛國里,426,436365,1024,640,360,1182,1256.58,122.67
1261,20210701,2018,臺南市,東　區,自強里,1892,2013363,1064,711,414,1290,1191.2,111.94
1262,20210701,2018,臺南市,東　區,崇善里,1735,1865485,1075,751,420,1362,1133.26,105.4
1263,20210701,2018,臺南市,東　區,崇學里,985,1084470,1101,690,382,1337,1329.86,120.79
1264,20210701,2018,臺南市,東　區,崇明里,1484,1780106,1200,776,392,1545,1488.6,124.1
1265,20210701,2018,臺南市,東　區,裕農里,964,928782,963,637,344,1116,1204.92,125.06
1266,20210701,2018,臺南市,東　區,莊敬里,1352,1500213,1110,725,406,1333,1308.63,117.93
1267,20210701,2018,臺南市,東　區,和平里,1816,2155199,1187,836,445,1473,1313.54,110.68
1268,20210701,2018,臺南市,東　區,富裕里,711,612902,862,648,347,1076,845.53,98.09
1269,20210701,2018,臺南市,東　區,東明里,1091,1094022,1003,688,386,1230,1139.27,113.61
1270,20210701,2018,臺南市,東　區,崇德里,1575,1613320,1024,718,416,1286,1055.45,103.04
1271,20210701,2018,臺南市,東　區,東智里,704,623012,885,681,404,1092,791.46,89.44
1272,20210701,2018,臺南市,東　區,東聖里,712,592273,832,615,375,986,777.79,93.5
1273,20210701,2018,臺南市,東　區,崇成里,1025,1056997,1031,705,382,1264,1086.52,105.36
1274,20210701,2018,臺南市,東　區,東門里,646,802461,1242,638,362,1200,6703.86,539.68
1275,20210701,2018,臺南市,東　區,成大里,587,545734,930,657,374,1184,935.87,100.66
1276,20210701,2018,臺南市,東　區,大同里,815,683633,839,569,327,987,1153.38,137.5
1277,20210701,2018,臺南市,東　區,德光里,1490,1685756,1131,732,419,1380,1409.01,124.54
1278,20210701,2018,臺南市,東　區,崇信里,1293,1228939,950,685,386,1211,973.16,102.39
