編號,縣市,所在轄區,X坐標,Y坐標,公園名稱,里別,面積公頃,類別,座落位置,管理單位,使用分區,附註,使用告示牌1,搖搖椅,搖搖樂,攀岩牆,旋轉地球,鐵馬搖椅,雙座潛艇滑軌,天梯爬梯,鏡子護欄,泡泡窗,方向盤,螺旋滑梯,海底峽谷爬梯,彈力蹺蹺板,蹺蹺板,攀爬梯網狀爬架,盪鞦韆,溜滑梯,吊橋,親子木樁,沙坑,大型兒童遊具,中型兒童遊具,小型兒童遊具,轉轉拼圖,其他遊樂設施,使用告示牌2,單槓引體向上,雙槓,高低槓,平行槓平行桿,三人扭腰器長,三人扭腰器圓轉腰器,平步機,伸腰伸臂架腰腹訓練器,壓腿器,太空漫步機雙人漫步機,肩關節康復器大轉輪,腰背按摩器,上肢牽引器,腹肌架腹肌運動,太極揉推器,平衡木,撐體向上,跳躍運動,仰臥舉腿,上下階運動,左右側跳,伏地挺身,俯前坐,腿筋伸展,衝浪板雙人浪板,吊環,雙向爬梯,天梯雲梯,滑輪吊環,滾背伸展,仰臥起坐,垂直爬梯,划船器,其他體健設施,石椅,靠背石椅,木椅,靠背木椅,鋁椅,靠背鋁椅,塑鋼椅,靠背塑鋼椅,白鐵椅,靠背白鐵椅,白鐵管椅,靠背白鐵管椅,玻璃椅,其他休憩設施,對奕石桌椅1:2,對奕石桌椅1:4,熄菸筒,石桌椅1:4,野餐桌椅,其他,木製涼亭,涼亭,瞭望台,花架,景觀壁燈,燈箱,高燈,矮燈,地底燈,橋樑,水龍頭1,電源開關箱,身障斜坡,身障扶手,P型身障扶手,C101,舞台,籃球場,網球場,羽球場,溜冰場,排球場,舉重館,槌球場,客家文化館,寵物新樂園沙坑,噴水池,管理單位說明,違規罰鍰,使用注意事項,公布欄,好望角,自行車路線圖,指示標誌,健康步道,垃圾桶1,腳踏車架,腳踏車停車位,機車停車位,汽車停車位,殘障停車位,遊覽車停車位,擋車阻,公廁,移動式廁間,便器蹲式1,便器坐式1,沖水器腳踏式1,沖水器水箱型1,垃圾桶2,門1,標誌1,XA8身障扶手,身障間洗手台2,小便區2,小便斗2,噴水器按押式2,噴水器感應式2,XB4身障扶手,煙蒂盒2,洗手台區2,鏡1,水槽1,水龍頭2,給皂盒1,衛生紙盒1,垃圾桶3,XC7身障扶手,便器蹲式2,便器坐式2,沖水器腳踏式2,沖水器水箱型2,垃圾桶4,門2,標誌2,YA8身障扶手,身障間洗手台1,小便區1,小便斗1,噴水器按押式1,噴水器感應式1,YB4身障扶手,煙蒂盒1,洗手台區1,鏡2,水槽2,水龍頭3,給皂盒2,衛生紙盒2,垃圾桶5,YC7身障扶手,門3,窗,照明燈,空調抽風機,洗腳池,台電電箱數量,台電電箱面積m2,中華電信設備箱數量,中華電信設備箱面積m2,欣南瓦斯設備箱數量,欣南瓦斯設備箱面積m2,第四台業者設備箱數量,第四台業者設備箱面積m2,C195,C196,C197,C198,C199,公園全景
1,臺南市,安南區,,,城東公園,城東里,0.3,鄰里公園,聖母廟前,台南市安南區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,臺南市,東區,172447.22,2542145.32,裕敬公園,裕聖里,0.435,鄰里公園,裕孝路&裕孝一街,東區區公所,鄰里,,,2,3,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,1,,,,1,3,,4,,,,,,,,,,,,,,1,,,,,,,,,,8,16,,,4,1,1,1,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,臺南市,東區,172619.41,2542390.5,裕聖公園,裕聖里,0.85,鄰里公園,裕信三街&裕信路,東區區公所,鄰里,,2,2,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,1,,,1,,1,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,6,10,5,12,,,,,,,,,,,,1,1,,1,,,,,,,,20,,,,4,1,4,,,,,1,,,,,,2,,,,,,,1,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,臺南市,中西區,167117.012,2543585.427,烏橋運河西岸公園(公11),大涼里,0.12,鄰里公園,府前路二段239號旁巷內,中西區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,臺南市,中西區,167871.825,2543566.782,二府口公園(公71),福安里,0.1326,鄰里公園,友愛市場後,中西區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,臺南市,東區,172166.35,2542915.76,千禧公園,關聖里,0.79,鄰里公園,裕農三街&裕和二街,東區區公所,鄰里,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,7,1,,,1,,,,1,,2,,,1,,1,,,,,1,1,,,,衝浪板／雙人浪板,,,1,,,,1,1,1,,,29,11,,,,,,,,,,,,,,1,,,1,,,,,1,32,,,,8,1,3,,1,,,,,,1,,,,,,,1,,4,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,臺南市,東區,172364.03,2542576.42,文聖公園,文聖里,1.38,區域公園,裕忠路&裕文路,公園管理一科,大型,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,2,,,,,1,1,1,1,1,,,1,,1,,,,,,,,,,1,,,,,,2,,,,5,,14,21,,,,,,,,,,3,,,,,,,,,,3,,,30,,,,9,1,4,,4,,1,,,,,,,,,,,1,4,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,臺南市,東區,171707.51,2542302.97,東成公園,虎尾里,0.1574,鄰里公園,東成街150號,東區區公所,鄰里,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,2,,,,,1,1,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,,2,,,,4,,7,,,,8,,,,,,,,,1,,1,,,,,,8,,,,1,,1,,,,,,,,,,,,,,,1,,1,1,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,臺南市,東區,171594.24,2542426.59,富農公園,虎尾里,0.2198,鄰里公園,富農街一段188巷,東區區公所,鄰里,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,2,,,,,1,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,1,,,,,,12,,,,2,1,2,1,,,,,,,,,,,,,,,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,臺南市,東區,172764.82,2542974.25,關聖公園,關聖里,0.92,鄰里公園,裕和五街&裕英街,東區區公所,鄰里,,2,2,,,,,,,,,,,,1,,,1,,,,1,1,,,,,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,25,6,,,,,,,,,,,,6,,1,,,1,,,,,,21,,,,9,1,4,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,臺南市,東區,171049.68,2541783.48,仁和公園,崇善里,0.1,鄰里公園,仁和路70號,東區區公所,鄰里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,1,,,,,27,,,,4,1,3,,,,,,,,,,,,,,,,3,,,,,,,,,,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,臺南市,東區,171335.49,2541966.48,和平公園,和平里,0.95,鄰里公園,文化一街,東區區公所,鄰里,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,,,,,,,,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,11,,,13,,,,,,,,,,,,,,2,1,,,,,,,,10,,,,5,1,2,,,,,,,,,,,,,,,,2,,1,,,,,3,,,,6,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,臺南市,東區,171221.9,2542028.65,文化公園(公兒E24),和平里,0.67,,仁和路41巷與文化二街,東區區公所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,4,,,,,,,,,,,,,,,,1,,,,,,,,14,,,,7,1,2,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
