停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄
公有收費停車場,03,延平郡王祠大埔街口路外停車場,臺南市中西區開山路與大埔街路口西側,,-1,0,6,1,0,1,0,0,08:00~22:00 ,20元/時 ,22.987274，120.208698,
公有收費停車場,16,臺南市立棒球場北側路外停車場,臺南市南區健康路1段市立棒球場北側,,-1,0,21,1,0,2,0,0,08:00~22:00 ,20元/時 ,22.981203，120.205877,
公有收費停車場,19,市立圖書館廣場停車場,臺南市北區公園路市立圖書館前,,-1,0,56,1,1,2,0,0,08:00~22:00 ,20元/時 ,23.004306，120.211019,
公有收費停車場,23,勝安香草公園路外停車場,臺南市北區開元路63巷勝安香草公園北側,,-1,0,17,3,0,1,20,0,08:00~22:00 ,20元/時 ,23.006637，120.215783,路外停車場月繳優惠3，000元(綠能電動車輛半價)，申購車輛停放於本市路邊停車場及委外停車場照常收費(凡設籍、租賃於北區長勝里之民眾或公司行號車輛，憑證明文件至機關辦理申購里民優惠票證，1戶限購1張，小型車每月1，600元；限定停放本停車場，本市路邊及其他路外停車場照常收費)。
公有收費停車場,31,竑穗新營停六停車場,臺南市新營區新營火車站西南側,06-2289846,-1,0,0,0,0,0,183,3,24小時 ,每小時10元，當日最高30元。 月租1，000元。 ,23.306363，120.322730,公辦民營-新營區公所經管
公有收費停車場,9021,青年路停E8路外停車場,臺南市東區青年路近育樂街路口南側,,-1,0,74,2,2,4,0,0,08:00~22:00,20元/時,22.991332，120.213709, 
公有收費停車場,9037,西門健康立體停車場,臺南市南區西門路與健康路交叉口,2138172,-1,0,88,3,2,9,17,1,每日8時至22時,20元/時，機車18席免費,22.981662，120.197369,原本平面32格，立體改102格，1111001收費
公有收費停車場,9038,巴克禮紀念公園停車場,臺南市東區中華東路3段之巴克禮紀念公園內,,-1,0,19,1,1,1,19,1,08:00~18:00,20元/時,22.972059，120.223301,105-11-01辦理收費
公有收費停車場,9039,五妃街南側停車場,臺南市中西區五妃街69號旁(近府連路交叉口),06-2136544,-1,0,56,2,1,1,0,0,08:00~22:00,20元/時,22.982396，120.209069,
公有收費停車場,9040,五妃街北側停車場,臺南市中西區五妃街60-64號旁(近府連路交叉口),06-2136544,-1,0,42,1,1,0,0,0,08:00~22:00,20元/時,22.982544，120.209087,
