停車場型態,停車場代碼,停車場名稱,停車場地址,停車場電話,即時車位,一般大型車,一般小型車,身障者小型車,婦幼者小型車,綠能小型車,一般機車,身障者機車,收費時間,收費費率,經緯度,備註欄
民營停車場,104004,凱旋臨時停車場,臺南市東區中華東路與凱旋路口(東光段1011地號),06-236-6222,-1,0,271,10,6,2,0,0,24小時,臨停:每小時50元。 其他月租或優惠依現場公告為主。,22.992103，120.233264,到期日:108.10.06
民營停車場,104018,西拉雅停車場,臺南市白河區溫泉段546地號土地(統茂會館旁),,-1,0,91,1,1,1,0,0,24小時,臨停:每小時30元。 其他月租或優惠依現場公告為主。,23.336388，120.504550,到期日:107.03.31
民營停車場,104019,西拉雅(一)停車場,臺南市白河區溫泉段577地號土地(統茂會館斜對面),,-1,0,23,1,1,1,0,0,24小時,臨停:每小時30元。 其他月租或優惠依現場公告為主。,23.336390，120.504326,到期日:107.03.31
民營停車場,105035,台南自由停車場,臺南市東區自由路一段79號旁(德高段106、106-1、107、126-2地號),0910-894713,-1,0,52,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.967380，120.234425,到期日:110.08.25
民營停車場,105043,翰林停車場,臺南市東區東區自由路三段210號旁(虎尾寮段532-1、533-2、532-3、532-4、532-101、533-1、533-2、533-3、533-9地號),0970-000-619,-1,0,89,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.979240，120.237868,到期日:110.08.30
民營停車場,105044,GoLine台南長榮停車場,臺南市北區北區長榮路四段221號旁(仁愛段560、620地號),0986-278989,-1,0,17,1,1,1,0,0,24小時,臨停:每小時40元。 其他月租或優惠依現場公告為主。,23.007225，120.220856,到期日:110.09.30
民營停車場,106012,文東停車場,臺南市東區文東路30巷24號(東區德高段481-3號),06-267-6703,-1,0,6,1,0,0,0,0,24小時,其他月租或優惠依現場公告為主。,22.960811，120.233533,到期日:111.03.02
民營停車場,106028,TimesUNIQLO臺南永康永大路店停車場,臺南市永康區永大路三段168號,02-2504-6098,-1,0,43,1,1,1,0,0,24小時,臨停:平日每半小時20元；假日:每半時30元。 其他月租或優惠依現場公告為主。,23.031159，120.260281,到期日:111.03.23
民營停車場,106030,大遠百停車場,臺南市東區前鋒路210號,06-209-8999,-1,0,530,13,13,2,0,0,24小時,臨停費率:每小時50元，第1小時內50元，逾1小時以每半小時25元計算。 單日在本公司或香格里拉遠東國際大飯店消費滿500元，給予免費1小時優待，最高給予4小時免費優惠(住宿者除外-給予全日優惠停車)。,22.996316，120.214833,到期日:111.05.23
民營停車場,106036,郭綜合醫院立體停車場,臺南市中西區民生路2段27號,06-222-1111#3125,-1,0,106,2,0,0,0,0,24小時,臨停費率:每小時50元，逾1小時以上，未滿半小時以半小時計,22.994758，120.19839,到期日:111.06.29
