full_id,osm_id,osm_type,highway,lane_marki,junction,embankment,sidewalk_r,sidewalk_l,tunnel,turn_lanes,cycleway_b,source_nam,old_ref,local_ref,cycleway_r,cycleway_l,maxheight,maxspeed_t,old_name,motorroad,maxweight,motorcycle,motorcar,bicycle,alt_name,sidewalk,lanes,cycleway_1,foot,bridge,surface,name_zh,name_en,name,lit,ref_zh,ref_en,ref,oneway,maxspeed,layer,xcoord,ycoord
w23787209,"23787209",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,???19???,Provincial Highway 19,"19",yes,"50","1",120.207271199999994,23.102841900000001
w23787210,"23787210",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.218076600000003,23.023550499999999
w23787210,"23787210",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.218107099999997,23.023549899999999
w23787210,"23787210",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.218188699999999,23.023521700000000
w23787210,"23787210",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.219371100000004,23.022799599999999
w23787210,"23787210",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.219491099999999,23.022719500000001
w23787210,"23787210",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.221009199999997,23.021751999999999
w23787210,"23787210",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.221049300000004,23.021726399999999
w23787210,"23787210",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.221493899999999,23.021451899999999
w23787212,"23787212",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,"1",120.222319299999995,23.020930400000001
w23787212,"23787212",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,no,yes,asphalt,?????????,Zhonghua Road,?????????,yes,???1???,Provincial Highway 1,"1",yes,,"1",120.224418099999994,23.019627499999999
w24420156,"24420156",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,???????????????,Datong Road Section 2,???????????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.216384099999999,22.964574800000001
w24420156,"24420156",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,???????????????,Datong Road Section 2,???????????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.216411800000003,22.964453500000001
w24420156,"24420156",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,???????????????,Datong Road Section 2,???????????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.216596199999998,22.963617899999999
w24420156,"24420156",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,???????????????,Datong Road Section 2,???????????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.216700299999999,22.963158199999999
w24420156,"24420156",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,???????????????,Datong Road Section 2,???????????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.216724099999993,22.962776699999999
w24420156,"24420156",way,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,asphalt,???????????????,Datong Road Section 2,???????????????,yes,???1???,Provincial Highway 1,"1",yes,,,120.216729400000006,22.961958700000000
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.177105699999998,22.915681400000000
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.177092500000001,22.915960200000001
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.177055300000006,22.916308099999998
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176993899999999,22.916650499999999
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176902999999996,22.916983399999999
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176836800000004,22.917226700000001
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176749799999996,22.917496100000001
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176581999999996,22.917982700000000
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176427399999994,22.918449200000001
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.176013800000007,22.919528600000000
w24452760,"24452760",way,primary,,,,,,,,,,,,,,,,,,,,,,,no,"2",shared_lane,,,,?????????,BinNan Road,?????????,,???17???,Provincial Highway 17,"17",yes,"70",,120.175654899999998,22.920499499999998
